"College of Agriculture and Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Business","Bachelor","13","$48,654.00","$75,000.00","$30,000.00","+/- 13174","$40,750.00","$50,000.00","$55,750.00"
"Ag Communications and Journalism","Bachelor","12","$36,150.00","$40,000.00","$28,800.00","+/- 4029","$35,000.00","$36,000.00","$40,000.00"
"Ag Economics","Bachelor","25","$47,680.00","$65,000.00","$35,000.00","+/- 8712","$40,000.00","$50,000.00","$55,000.00"
"Ag Economics","Master","3","$47,333.00","$53,000.00","$40,000.00","+/- 6658","$46,750.00","$49,000.00","$53,000.00"
"Ag Education","Master","2","$40,500.00","$51,000.00","$30,000.00","+/- 14849","$40,500.00","$40,500.00","$51,000.00"
"Ag Leadership and Development","Bachelor","30","$47,595.00","$70,000.00","$30,000.00","+/- 10316","$40,000.00","$49,666.00","$55,000.00"
"Ag Science","Bachelor","9","$43,722.00","$58,000.00","$28,000.00","+/- 9257","$40,000.00","$44,000.00","$50,000.00"
"Ag Systems Management","Bachelor","8","$50,938.00","$67,500.00","$40,000.00","+/- 9792","$45,000.00","$47,500.00","$64,000.00"
"Ag Systems Management","Master","2","$54,000.00","$68,000.00","$40,000.00","+/- 19799","$54,000.00","$54,000.00","$68,000.00"
"Animal Science","Bachelor","22","$40,644.00","$57,000.00","$20,000.00","+/- 9347","$35,000.00","$40,000.00","$50,000.00"
"Biochemistry","Bachelor","2","$39,000.00","$46,000.00","$32,000.00","+/- 9899","$39,000.00","$39,000.00","$46,000.00"
"Bioenvironmental Science","Bachelor","2","$33,500.00","$45,000.00","$22,000.00","+/- 16263","$33,500.00","$33,500.00","$45,000.00"
"Entomology","Bachelor","1","$42,000.00","$42,000.00","$42,000.00","+/- 0","$42,000.00","$42,000.00","$42,000.00"
"Food Science & Technology","Bachelor","3","$51,333.00","$55,000.00","$45,000.00","+/- 5508","$51,750.00","$54,000.00","$55,000.00"
"Forensic and Investigative Sciences","Bachelor","3","$41,555.00","$55,000.00","$20,000.00","+/- 18857","$42,249.50","$49,666.00","$55,000.00"
"Forestry","Bachelor","3","$34,833.00","$40,000.00","$28,000.00","+/- 6171","$34,375.00","$36,500.00","$40,000.00"
"Genetics","Doctorate","2","$57,500.00","$85,000.00","$30,000.00","+/- 38891","$57,500.00","$57,500.00","$85,000.00"
"Horticulture","Bachelor","6","$37,000.00","$52,000.00","$20,000.00","+/- 11005","$33,750.00","$38,500.00","$47,500.00"
"Nutritional Sciences","Bachelor","6","$35,333.00","$45,000.00","$20,000.00","+/- 8383","$35,500.00","$36,000.00","$42,500.00"
"Plant & Soil Sciences","Bachelor","3","$66,667.00","$100,000.00","$50,000.00","+/- 28868","$50,000.00","$50,000.00","$100,000.00"
"Plant Pathology","Master","2","$41,500.00","$48,000.00","$35,000.00","+/- 9192","$41,500.00","$41,500.00","$48,000.00"
"Poultry Science","Bachelor","6","$45,667.00","$50,000.00","$40,000.00","+/- 4502","$42,500.00","$46,000.00","$50,000.00"
"Rangeland Ecology & Management","Bachelor","5","$54,200.00","$70,000.00","$35,000.00","+/- 12872","$52,000.00","$55,000.00","$67,500.00"
"Recreation, Park & Tourism Sci.","Bachelor","9","$43,444.00","$60,000.00","$30,000.00","+/- 11833","$32,750.00","$45,000.00","$57,500.00"
"Recreation, Park & Tourism Sci.","Doctorate","2","$50,000.00","$60,000.00","$40,000.00","+/- 14142","$50,000.00","$50,000.00","$60,000.00"
"Recreation, Park & Tourism Sci.","Master","2","$39,000.00","$45,000.00","$33,000.00","+/- 8485","$39,000.00","$39,000.00","$45,000.00"
"Renewable Natural Resources","Bachelor","5","$35,800.00","$42,000.00","$25,000.00","+/- 7823","$32,500.00","$40,000.00","$42,000.00"
"Turfgrass Science","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Univ. Studies - Leadership Studies","Bachelor","4","$52,416.00","$55,000.00","$49,666.00","+/- 2986","$50,000.00","$52,500.00","$55,000.00"
"Univ. Studies-Agriculture and Life Sciences","Bachelor","3","$37,889.00","$49,666.00","$26,000.00","+/- 11833","$35,000.00","$38,000.00","$49,666.00"
"Wildlife Fisheries Science","Bachelor","8","$41,600.00","$70,000.00","$20,000.00","+/- 18594","$30,000.00","$40,000.00","$60,000.00"
"Wildlife Fisheries Science","Doctorate","2","$50,000.00","$55,000.00","$45,000.00","+/- 7071","$50,000.00","$50,000.00","$55,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","189","$44,532.00","$100,000.00","$20,000.00","+/- 11747","$36,000.00","$45,000.00","$50,000.00"
"Master","","11","$44,727.00","$68,000.00","$30,000.00","+/- 10827","$38,750.00","$45,000.00","$51,500.00"
"Doctorate","","6","$52,500.00","$85,000.00","$30,000.00","+/- 19170","$42,500.00","$50,000.00","$72,500.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Architecture","Master","13","$49,846.00","$60,000.00","$40,000.00","+/- 5293","$47,125.00","$50,000.00","$54,375.00"
"Construction Management","Master","10","$57,790.00","$75,000.00","$40,000.00","+/- 10879","$52,750.00","$59,000.00","$66,200.00"
"Construction Science","Bachelor","64","$62,176.00","$151,000.00","$41,000.00","+/- 13275","$58,000.00","$60,000.00","$63,000.00"
"Environmental Design","Bachelor","15","$43,667.00","$60,000.00","$30,000.00","+/- 7970","$39,250.00","$40,000.00","$50,000.00"
"Landscape Architecture","Bachelor","7","$46,727.00","$59,088.00","$40,000.00","+/- 7043","$41,500.00","$45,000.00","$53,022.00"
"Landscape Architecture","Master","4","$46,750.00","$50,000.00","$42,000.00","+/- 3948","$45,000.00","$47,500.00","$50,000.00"
"Univ. Studies-Global Arts, Plan, Design & Const.","Bachelor","7","$49,171.00","$75,000.00","$25,200.00","+/- 16839","$38,750.00","$54,000.00","$63,750.00"
"Urban & Regional Planning","Master","5","$48,400.00","$51,000.00","$45,000.00","+/- 2702","$47,000.00","$50,000.00","$50,750.00"
"Urban & Regional Science","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Visualization Science","Bachelor","2","$34,500.00","$40,000.00","$29,000.00","+/- 7778","$34,500.00","$34,500.00","$40,000.00"
"Visualization Science","Master","2","$72,500.00","$75,000.00","$70,000.00","+/- 3536","$72,500.00","$72,500.00","$75,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","96","$56,453.00","$151,000.00","$25,200.00","+/- 14771","$50,000.00","$58,500.00","$62,000.00"
"Master","","34","$52,938.00","$75,000.00","$40,000.00","+/- 9327","$46,500.00","$50,000.00","$59,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Bush School of Gov. & Public Svc.","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"International Affairs","Master","4","$60,500.00","$80,000.00","$46,500.00","+/- 14160","$55,500.00","$57,750.00","$80,000.00"
"Public Service & Administration","Master","7","$55,286.00","$68,000.00","$29,000.00","+/- 13537","$53,750.00","$58,000.00","$65,750.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","11","$57,182.00","$80,000.00","$29,000.00","+/- 13305","$53,375.00","$58,000.00","$65,750.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"All Elementary Education","Bachelor","3","$45,333.00","$51,000.00","$34,000.00","+/- 9815","$46,750.00","$51,000.00","$51,000.00"
"All Secondary Education","Master","2","$48,000.00","$51,000.00","$45,000.00","+/- 4243","$48,000.00","$48,000.00","$51,000.00"
"Education Administration","Master","8","$57,062.00","$130,000.00","$33,500.00","+/- 33950","$36,000.00","$43,000.00","$85,000.00"
"Educational Curriculum & Instruct.","Doctorate","3","$55,667.00","$62,000.00","$50,000.00","+/- 6028","$53,750.00","$55,000.00","$62,000.00"
"Educational Curriculum & Instruct.","Master","15","$48,057.00","$60,000.00","$35,000.00","+/- 7046","$44,450.00","$50,000.00","$55,000.00"
"Educational Psychology","Master","7","$52,357.00","$60,000.00","$48,500.00","+/- 3945","$50,000.00","$51,000.00","$56,250.00"
"Educational Technology","Master","4","$51,312.00","$55,000.00","$46,750.00","+/- 3412","$51,500.00","$51,750.00","$55,000.00"
"Health","Bachelor","15","$38,355.00","$55,000.00","$20,000.00","+/- 10192","$33,750.00","$40,000.00","$49,666.00"
"Health Education","Doctorate","2","$112,500.00","$160,000.00","$65,000.00","+/- 67175","$112,500.00","$112,500.00","$160,000.00"
"Health Education","Master","5","$74,400.00","$100,000.00","$40,000.00","+/- 24714","$64,500.00","$84,000.00","$97,500.00"
"Human Resource Development","Master","4","$67,500.00","$90,000.00","$36,000.00","+/- 25371","$58,000.00","$72,000.00","$90,000.00"
"Interdisciplinary Studies","Bachelor","59","$46,122.00","$54,000.00","$23,000.00","+/- 6730","$41,750.00","$50,000.00","$51,000.00"
"IS - Human Resource Development","Bachelor","17","$39,604.00","$51,000.00","$28,100.00","+/- 7967","$35,000.00","$37,000.00","$48,000.00"
"IS - Technology Management","Bachelor","11","$53,909.00","$85,000.00","$30,000.00","+/- 16961","$41,250.00","$58,000.00","$66,250.00"
"Kinesiology","Bachelor","13","$46,939.00","$70,000.00","$28,000.00","+/- 12819","$40,635.50","$46,000.00","$57,500.00"
"Kinesiology","Master","2","$23,500.00","$25,000.00","$22,000.00","+/- 2121","$23,500.00","$23,500.00","$25,000.00"
"Special Education","Bachelor","6","$47,167.00","$54,000.00","$35,000.00","+/- 7521","$45,500.00","$50,000.00","$53,500.00"
"Sports Management","Bachelor","11","$36,009.00","$57,500.00","$20,000.00","+/- 11096","$29,000.00","$35,500.00","$42,750.00"
"Univ. Studies - Dance","Bachelor","6","$34,733.00","$50,000.00","$20,000.00","+/- 10355","$30,000.00","$34,200.00","$45,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","141","$43,947.00","$85,000.00","$20,000.00","+/- 10602","$36,625.00","$45,000.00","$51,000.00"
"Master","","47","$53,917.00","$130,000.00","$22,000.00","+/- 20153","$44,450.00","$51,000.00","$55,750.00"
"Doctorate","","5","$78,400.00","$160,000.00","$50,000.00","+/- 45992","$56,750.00","$62,000.00","$136,250.00"
"College of Engineering","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Aerospace Engineering","Bachelor","16","$61,979.00","$85,000.00","$45,500.00","+/- 9632","$58,000.00","$62,500.00","$67,500.00"
"Aerospace Engineering","Master","4","$100,250.00","$180,000.00","$63,000.00","+/- 53798","$75,000.00","$79,000.00","$180,000.00"
"Biological & Ag Engineering","Bachelor","9","$60,704.00","$107,000.00","$30,000.00","+/- 21054","$50,999.50","$57,000.00","$71,000.00"
"Biomedical Engineering","Bachelor","14","$62,050.00","$85,000.00","$35,000.00","+/- 11444","$57,500.00","$64,000.00","$68,500.00"
"Chemical Engineering","Bachelor","24","$77,758.00","$105,000.00","$43,000.00","+/- 13713","$70,000.00","$76,500.00","$90,000.00"
"Chemical Engineering","Doctorate","2","$68,000.00","$92,000.00","$44,000.00","+/- 33941","$68,000.00","$68,000.00","$92,000.00"
"Civil Engineering","Bachelor","35","$57,213.00","$92,500.00","$30,000.00","+/- 8446","$55,000.00","$57,000.00","$60,000.00"
"Civil Engineering","Master","16","$62,042.00","$115,000.00","$49,666.00","+/- 15339","$56,000.00","$59,000.00","$64,000.00"
"Computer Engineering - CPSC","Bachelor","15","$68,044.00","$107,000.00","$45,000.00","+/- 19129","$58,000.00","$63,000.00","$79,000.00"
"Computer Engineering - CPSC","Doctorate","3","$128,333.00","$190,000.00","$80,000.00","+/- 56199","$106,250.00","$115,000.00","$190,000.00"
"Computer Engineering - CPSC","Master","18","$108,500.00","$150,000.00","$70,000.00","+/- 16660","$100,000.00","$106,000.00","$120,000.00"
"Computer Engineering - ELEN","Bachelor","10","$66,333.00","$78,000.00","$49,666.00","+/- 10255","$62,000.00","$70,000.00","$74,500.00"
"Computer Engineering - ELEN","Master","8","$102,125.00","$120,000.00","$85,000.00","+/- 13590","$90,000.00","$101,000.00","$120,000.00"
"Computer Science","Bachelor","19","$66,632.00","$98,000.00","$52,000.00","+/- 12058","$57,000.00","$63,000.00","$77,375.00"
"Computer Science","Master","19","$104,684.00","$120,000.00","$80,000.00","+/- 11086","$99,250.00","$105,000.00","$115,000.00"
"Electrical Engineering","Bachelor","20","$68,033.00","$87,000.00","$45,000.00","+/- 10395","$63,000.00","$70,000.00","$75,000.00"
"Electrical Engineering","Doctorate","5","$81,200.00","$110,000.00","$50,000.00","+/- 28587","$62,000.00","$80,000.00","$110,000.00"
"Electrical Engineering","Master","24","$86,354.00","$165,000.00","$65,000.00","+/- 20208","$80,000.00","$82,250.00","$95,000.00"
"Electronic Systems Engineering Tech","Bachelor","7","$66,857.00","$75,000.00","$60,000.00","+/- 5551","$63,750.00","$68,000.00","$71,250.00"
