"College of Agriculture and Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Visualization Science","Bachelor","5","$44,500.00","$58,000.00","$35,500.00","+/- 9274","$39,250.00","$40,000.00","$56,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","45","$58,356.00","$97,000.00","$35,500.00","+/- 11780","$53,500.00","$60,000.00","$62,000.00"
"Master","","7","$54,500.00","$77,000.00","$42,000.00","+/- 12619","$45,000.00","$53,000.00","$68,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"All Elementary Education","Bachelor","7","$57,257.00","$98,000.00","$48,000.00","+/- 18024","$50,000.00","$51,000.00","$64,100.00"
"All Secondary Education","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Education Administration","Master","2","$52,000.00","$55,000.00","$49,000.00","+/- 4243","$52,000.00","$52,000.00","$55,000.00"
"Educational Curriculum & Instruct.","Master","2","$64,500.00","$80,000.00","$49,000.00","+/- 21920","$64,500.00","$64,500.00","$80,000.00"
"Health","Bachelor","11","$37,697.00","$49,666.00","$25,000.00","+/- 6181","$35,000.00","$38,000.00","$40,750.00"
"Interdisciplinary Studies","Bachelor","26","$45,606.00","$52,000.00","$23,000.00","+/- 6940","$41,750.00","$48,250.00","$50,750.00"
"IS - Human Resource Development","Bachelor","7","$53,286.00","$70,000.00","$34,000.00","+/- 13793","$44,750.00","$50,000.00","$70,000.00"
"IS - Technology Management","Bachelor","4","$44,916.00","$58,000.00","$27,000.00","+/- 13099","$45,000.00","$47,333.00","$58,000.00"
"Kinesiology","Bachelor","6","$43,667.00","$80,000.00","$20,000.00","+/- 20412","$36,000.00","$40,000.00","$65,000.00"
"Special Education","Bachelor","1","$44,000.00","$44,000.00","$44,000.00","+/- 0","$44,000.00","$44,000.00","$44,000.00"
"Sports Management","Bachelor","6","$34,617.00","$45,000.00","$20,000.00","+/- 8962","$31,350.00","$36,000.00","$42,500.00"
"Univ. Studies - Dance","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","70","$44,965.00","$98,000.00","$20,000.00","+/- 12461","$39,500.00","$45,000.00","$50,050.00"
"Master","","4","$58,250.00","$80,000.00","$49,000.00","+/- 14773","$49,000.00","$52,000.00","$80,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Engineering","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Aerospace Engineering","Bachelor","10","$66,917.00","$99,000.00","$49,666.00","+/- 13493","$59,000.00","$65,500.00","$72,500.00"
"Aerospace Engineering","Doctorate","2","$80,350.00","$85,700.00","$75,000.00","+/- 7566","$80,350.00","$80,350.00","$85,700.00"
"Aerospace Engineering","Master","3","$77,500.00","$90,000.00","$60,000.00","+/- 15612","$76,875.00","$82,500.00","$90,000.00"
"Biomedical Engineering","Bachelor","3","$64,000.00","$75,000.00","$57,000.00","+/- 9644","$59,250.00","$60,000.00","$75,000.00"
"Biomedical Engineering","Doctorate","2","$90,000.00","$90,000.00","$90,000.00","+/- 0","$90,000.00","$90,000.00","$90,000.00"
"Chemical Engineering","Bachelor","24","$83,165.00","$120,000.00","$57,000.00","+/- 15938","$75,000.00","$79,000.00","$98,000.00"
"Civil Engineering","Bachelor","43","$57,050.00","$65,000.00","$45,000.00","+/- 4724","$55,000.00","$57,000.00","$60,375.00"
"Civil Engineering","Doctorate","5","$58,600.00","$72,000.00","$43,000.00","+/- 14467","$48,500.00","$65,000.00","$71,500.00"
"Civil Engineering","Master","17","$65,106.00","$100,000.00","$55,000.00","+/- 12821","$59,200.00","$60,000.00","$62,000.00"
"Computer Engineering - CPSC","Bachelor","17","$63,260.00","$87,000.00","$36,000.00","+/- 11620","$60,500.00","$65,000.00","$69,750.00"
"Computer Engineering - CPSC","Master","14","$93,657.00","$120,000.00","$65,000.00","+/- 16159","$87,500.00","$94,000.00","$105,000.00"
"Computer Engineering - ELEN","Bachelor","7","$62,732.00","$85,000.00","$45,000.00","+/- 13396","$55,781.25","$60,000.00","$75,250.00"
"Computer Engineering - ELEN","Master","5","$95,560.00","$110,000.00","$87,300.00","+/- 8986","$90,625.00","$92,500.00","$107,000.00"
"Computer Science","Bachelor","21","$73,419.00","$105,000.00","$48,000.00","+/- 13593","$66,500.00","$70,000.00","$80,000.00"
"Computer Science","Master","7","$109,429.00","$145,000.00","$67,000.00","+/- 23266","$106,750.00","$115,000.00","$122,500.00"
"Electrical Engineering","Bachelor","37","$68,833.00","$100,000.00","$40,000.00","+/- 13241","$63,125.00","$68,000.00","$80,000.00"
"Electrical Engineering","Doctorate","2","$75,000.00","$110,000.00","$40,000.00","+/- 49497","$75,000.00","$75,000.00","$110,000.00"
"Electrical Engineering","Master","10","$88,000.00","$115,000.00","$45,000.00","+/- 18685","$85,000.00","$93,000.00","$98,500.00"
"Electronic Systems Engineering Tech","Bachelor","3","$58,333.00","$67,500.00","$40,000.00","+/- 15877","$60,625.00","$67,500.00","$67,500.00"
"Engineering Technology","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
"Industrial & Systems Engineering","Bachelor","30","$64,433.00","$76,000.00","$41,000.00","+/- 7471","$60,000.00","$65,000.00","$70,000.00"
"Industrial & Systems Engineering","Doctorate","2","$101,500.00","$115,000.00","$88,000.00","+/- 19092","$101,500.00","$101,500.00","$115,000.00"
"Industrial & Systems Engineering","Master","2","$77,000.00","$81,000.00","$73,000.00","+/- 5657","$77,000.00","$77,000.00","$81,000.00"
"Industrial Distribution","Bachelor","38","$61,762.00","$100,000.00","$40,000.00","+/- 12890","$55,000.00","$60,000.00","$66,500.00"
"Manufacturing & Mechanical Eng. Tech","Bachelor","11","$59,942.00","$77,000.00","$40,000.00","+/- 10291","$53,750.00","$63,500.00","$65,425.00"
"Material Science (M,D)","Doctorate","2","$89,600.00","$117,700.00","$61,500.00","+/- 39739","$89,600.00","$89,600.00","$117,700.00"
"Material Science (M,D)","Master","4","$53,625.00","$75,000.00","$30,000.00","+/- 19345","$47,500.00","$54,750.00","$75,000.00"
"Mechanical Engineering","Bachelor","42","$73,153.00","$99,000.00","$50,000.00","+/- 11766","$65,000.00","$70,000.00","$81,500.00"
"Mechanical Engineering","Doctorate","3","$60,200.00","$96,000.00","$42,000.00","+/- 31005","$42,450.00","$42,600.00","$96,000.00"
"Mechanical Engineering","Master","3","$83,667.00","$95,000.00","$68,000.00","+/- 14012","$83,000.00","$88,000.00","$95,000.00"
"Ocean Engineering","Bachelor","2","$59,000.00","$63,000.00","$55,000.00","+/- 5657","$59,000.00","$59,000.00","$63,000.00"
"Petroleum Engineering","Bachelor","10","$89,650.00","$110,000.00","$55,000.00","+/- 17499","$90,000.00","$95,250.00","$101,000.00"
"Petroleum Engineering","Master","2","$75,500.00","$111,000.00","$40,000.00","+/- 50205","$75,500.00","$75,500.00","$111,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","299","$67,457.00","$120,000.00","$36,000.00","+/- 14248","$58,000.00","$65,000.00","$75,000.00"
