"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","7","$38,143.00","$50,000.00","$24,000.00","+/- 9477","$34,750.00","$38,000.00","$46,250.00"
"Ag Leadership & Development","Bachelor","11","$51,571.00","$65,000.00","$34,000.00","+/- 11578","$46,000.00","$51,276.00","$65,000.00"
"Agr Leadership, Educ & Comm","Master","2","$47,500.00","$55,000.00","$40,000.00","+/- 10607","$47,500.00","$47,500.00","$55,000.00"
"Agribusiness","Bachelor","4","$59,000.00","$78,000.00","$42,000.00","+/- 14832","$56,000.00","$58,000.00","$78,000.00"
"Agribusiness","Master","8","$60,662.00","$72,500.00","$45,000.00","+/- 8901","$60,000.00","$60,000.00","$70,000.00"
"Agricultural Economics","Bachelor","24","$49,062.00","$75,000.00","$24,000.00","+/- 11248","$40,000.00","$50,000.00","$55,000.00"
"Agricultural Science","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Agricultural Systems Mgmt","Bachelor","2","$48,000.00","$58,000.00","$38,000.00","+/- 14142","$48,000.00","$48,000.00","$58,000.00"
"Animal Science","Bachelor","17","$46,180.00","$63,000.00","$30,000.00","+/- 9325","$41,250.00","$50,000.00","$51,276.00"
"Biochemistry","Bachelor","3","$46,333.00","$59,000.00","$40,000.00","+/- 10970","$40,000.00","$40,000.00","$59,000.00"
"Biochemistry","Doctorate","2","$41,500.00","$45,000.00","$38,000.00","+/- 4950","$41,500.00","$41,500.00","$45,000.00"
"Bioenvironmental Sciences","Bachelor","7","$37,754.00","$65,000.00","$20,000.00","+/- 13934","$32,960.00","$35,000.00","$49,250.00"
"Biological & Agricultural Engr","Bachelor","1","$62,000.00","$62,000.00","$62,000.00","+/- 0","$62,000.00","$62,000.00","$62,000.00"
"Biological & Agricultural Engr","Master","2","$80,650.00","$96,300.00","$65,000.00","+/- 22132","$80,650.00","$80,650.00","$96,300.00"
"Community Development","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Ecological Restoration","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Food Science & Technology","Bachelor","3","$55,000.00","$60,000.00","$45,000.00","+/- 8660","$56,250.00","$60,000.00","$60,000.00"
"Forestry","Bachelor","2","$35,000.00","$40,000.00","$30,000.00","+/- 7071","$35,000.00","$35,000.00","$40,000.00"
"Genetics","Bachelor","4","$57,370.00","$125,000.00","$27,040.00","+/- 45434","$37,440.00","$38,720.00","$125,000.00"
"Horticulture","Bachelor","3","$50,000.00","$60,000.00","$40,000.00","+/- 10000","$47,500.00","$50,000.00","$60,000.00"
"Nutrition","Bachelor","2","$50,000.00","$65,000.00","$35,000.00","+/- 21213","$50,000.00","$50,000.00","$65,000.00"
"Nutritional Sciences","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Plant & Environmental Soil Sc","Bachelor","1","$51,000.00","$51,000.00","$51,000.00","+/- 0","$51,000.00","$51,000.00","$51,000.00"
"Plant Breeding","Doctorate","3","$65,667.00","$92,000.00","$50,000.00","+/- 22942","$53,750.00","$55,000.00","$92,000.00"
"Rangeland Ecology & Management","Bachelor","3","$45,833.00","$56,500.00","$35,000.00","+/- 10751","$43,250.00","$46,000.00","$56,500.00"
"Recreation, Park & Tourism Sc","Bachelor","7","$34,143.00","$48,000.00","$20,800.00","+/- 8878","$30,150.00","$35,000.00","$42,000.00"
"Recreation, Park & Tourism Sc","Master","2","$51,125.00","$55,000.00","$47,250.00","+/- 5480","$51,125.00","$51,125.00","$55,000.00"
"Renewable Natural Resources","Bachelor","1","$70,000.00","$70,000.00","$70,000.00","+/- 0","$70,000.00","$70,000.00","$70,000.00"
"Spatial Sciences","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Turfgrass Science","Bachelor","1","$84,000.00","$84,000.00","$84,000.00","+/- 0","$84,000.00","$84,000.00","$84,000.00"
"University Studies","Bachelor","11","$48,500.00","$70,000.00","$30,000.00","+/- 14911","$35,750.00","$45,000.00","$64,000.00"
"Wildlife & Fisheries Sciences","Bachelor","6","$50,092.00","$100,000.00","$25,000.00","+/- 26971","$36,500.00","$48,138.00","$75,638.00"
"Wildlife & Fisheries Sciences","Doctorate","2","$50,000.00","$57,000.00","$43,000.00","+/- 9899","$50,000.00","$50,000.00","$57,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","125","$47,513.00","$125,000.00","$20,000.00","+/- 15342","$37,000.00","$47,000.00","$55,750.00"
"Master","","14","$60,275.00","$96,300.00","$40,000.00","+/- 13902","$53,900.00","$60,000.00","$67,500.00"
"Doctorate","","7","$54,286.00","$92,000.00","$38,000.00","+/- 17923","$44,500.00","$50,000.00","$65,750.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Construction Management","Master","2","$65,638.00","$80,000.00","$51,276.00","+/- 20311","$65,638.00","$65,638.00","$80,000.00"
"Construction Science","Bachelor","59","$61,544.00","$85,000.00","$45,000.00","+/- 6335","$58,875.00","$62,000.00","$64,550.00"
"Environ Design Arch Studies","Bachelor","5","$63,600.00","$150,000.00","$33,000.00","+/- 48962","$40,000.00","$40,000.00","$126,250.00"
"Land & Property Development","Master","3","$64,333.00","$75,000.00","$58,000.00","+/- 9292","$59,500.00","$60,000.00","$75,000.00"
"Landscape Architecture","Bachelor","2","$103,500.00","$165,000.00","$42,000.00","+/- 86974","$103,500.00","$103,500.00","$165,000.00"
"University Studies","Bachelor","16","$53,267.00","$65,000.00","$20,000.00","+/- 12992","$51,276.00","$58,000.00","$60,000.00"
"Urban & Regional Planning","Bachelor","2","$65,638.00","$80,000.00","$51,276.00","+/- 20311","$65,638.00","$65,638.00","$80,000.00"
"Visualization","Bachelor","1","$24,000.00","$24,000.00","$24,000.00","+/- 0","$24,000.00","$24,000.00","$24,000.00"
"Visualization","Master","2","$58,040.00","$62,000.00","$54,080.00","+/- 5600","$58,040.00","$58,040.00","$62,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","85","$60,749.00","$165,000.00","$20,000.00","+/- 18404","$55,000.00","$60,000.00","$64,000.00"
"Master","","7","$62,908.00","$80,000.00","$51,276.00","+/- 10685","$57,020.00","$60,000.00","$76,250.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Bush School of Gov & Pub Serv","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Public Svc & Admin-Exec Prog","Master","7","$88,640.00","$150,000.00","$51,276.00","+/- 33340","$71,078.75","$75,500.00","$120,750.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","7","$88,640.00","$150,000.00","$51,276.00","+/- 33340","$71,078.75","$75,500.00","$120,750.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Community Health","Bachelor","3","$25,333.00","$32,000.00","$20,000.00","+/- 6110","$23,000.00","$24,000.00","$32,000.00"
