"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","4","$39,000.00","$58,000.00","$24,000.00","+/- 14283","$34,000.00","$37,000.00","$58,000.00"
"Ag Leadership & Development","Bachelor","5","$64,100.00","$85,000.00","$48,500.00","+/- 15348","$53,750.00","$65,000.00","$81,750.00"
"Agr Leadership, Educ & Comm","Master","3","$45,667.00","$56,000.00","$31,000.00","+/- 13051","$45,250.00","$50,000.00","$56,000.00"
"Agricultural Economics","Bachelor","2","$42,500.00","$45,000.00","$40,000.00","+/- 3536","$42,500.00","$42,500.00","$45,000.00"
"Agricultural Systems Mgmt","Bachelor","2","$52,500.00","$60,000.00","$45,000.00","+/- 10607","$52,500.00","$52,500.00","$60,000.00"
"Animal Science","Bachelor","6","$44,379.00","$64,000.00","$30,000.00","+/- 12075","$38,000.00","$42,500.00","$57,638.00"
"Animal Science","Doctorate","2","$61,000.00","$80,000.00","$42,000.00","+/- 26870","$61,000.00","$61,000.00","$80,000.00"
"Animal Science","Master","3","$44,333.00","$63,000.00","$30,000.00","+/- 16921","$37,500.00","$40,000.00","$63,000.00"
"Biochemistry","Doctorate","2","$57,500.00","$65,000.00","$50,000.00","+/- 10607","$57,500.00","$57,500.00","$65,000.00"
"Bioenvironmental Sciences","Bachelor","2","$41,138.00","$51,276.00","$31,000.00","+/- 14337","$41,138.00","$41,138.00","$51,276.00"
"Horticulture","Bachelor","2","$45,000.00","$50,000.00","$40,000.00","+/- 7071","$45,000.00","$45,000.00","$50,000.00"
"Nutrition","Bachelor","4","$39,850.00","$53,400.00","$30,000.00","+/- 11768","$30,000.00","$38,000.00","$53,400.00"
"Poultry Science","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Recreation, Park & Tourism Sc","Bachelor","2","$38,520.00","$50,000.00","$27,040.00","+/- 16235","$38,520.00","$38,520.00","$50,000.00"
"University Studies","Bachelor","3","$49,167.00","$62,500.00","$30,000.00","+/- 17017","$48,750.00","$55,000.00","$62,500.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","33","$46,636.00","$85,000.00","$24,000.00","+/- 13949","$37,000.00","$46,000.00","$54,600.00"
"Master","","6","$45,000.00","$63,000.00","$30,000.00","+/- 13535","$35,500.00","$45,000.00","$59,500.00"
"Doctorate","","4","$59,250.00","$80,000.00","$42,000.00","+/- 16800","$50,000.00","$57,500.00","$80,000.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Construction Science","Bachelor","29","$64,555.00","$100,000.00","$45,000.00","+/- 9525","$60,000.00","$65,000.00","$68,000.00"
"Environ Design Arch Studies","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"University Studies","Bachelor","14","$51,857.00","$65,000.00","$30,000.00","+/- 9478","$48,000.00","$52,500.00","$60,000.00"
"Urban & Regional Planning","Bachelor","1","$40,900.00","$40,900.00","$40,900.00","+/- 0","$40,900.00","$40,900.00","$40,900.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","45","$59,755.00","$100,000.00","$30,000.00","+/- 11382","$53,625.00","$60,000.00","$65,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Community Health","Bachelor","3","$37,333.00","$40,000.00","$32,000.00","+/- 4619","$38,000.00","$40,000.00","$40,000.00"
"Curriculum & Instruction","Doctorate","2","$92,500.00","$100,000.00","$85,000.00","+/- 10607","$92,500.00","$92,500.00","$100,000.00"
"Curriculum & Instruction","Master","31","$52,274.00","$65,000.00","$40,000.00","+/- 6424","$49,250.00","$54,000.00","$56,500.00"
"Edu Human Resource Development","Doctorate","2","$75,000.00","$110,000.00","$40,000.00","+/- 49497","$75,000.00","$75,000.00","$110,000.00"
"Educational Administration","Master","7","$62,143.00","$87,000.00","$44,000.00","+/- 14041","$56,750.00","$57,000.00","$77,250.00"
"Educational Technology","Master","4","$53,744.00","$68,000.00","$40,000.00","+/- 11614","$51,000.00","$53,487.50","$68,000.00"
"Health","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Human Resource Development","Bachelor","19","$51,042.00","$85,000.00","$34,000.00","+/- 13279","$44,250.00","$50,000.00","$58,500.00"
"Interdisciplinary Studies","Bachelor","2","$49,500.00","$54,000.00","$45,000.00","+/- 6364","$49,500.00","$49,500.00","$54,000.00"
"Kinesiology","Bachelor","3","$57,092.00","$70,000.00","$50,000.00","+/- 11197","$50,957.00","$51,276.00","$70,000.00"
"School Psychology","Doctorate","5","$44,200.00","$48,000.00","$40,000.00","+/- 4025","$41,250.00","$45,000.00","$48,000.00"
"Sport Management","Bachelor","6","$42,183.00","$47,600.00","$30,000.00","+/- 6920","$41,500.00","$45,000.00","$47,550.00"
"Sport Management","Master","4","$54,050.00","$75,000.00","$45,000.00","+/- 14128","$46,200.00","$48,100.00","$75,000.00"
"Technology Management","Bachelor","10","$59,479.00","$76,500.00","$35,360.00","+/- 14581","$50,638.00","$63,327.50","$73,500.00"
