"College of Agriculture & Life Sciences","","","","","","","","",""
"University Studies","Bachelor","1","$112,000.00","$112,000.00","$112,000.00","+/- 0","$112,000.00","$112,000.00","$112,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","45","$52,044.00","$112,000.00","$30,000.00","+/- 16262","$40,500.00","$50,000.00","$61,241.25"
"Master","","46","$54,058.00","$87,000.00","$40,000.00","+/- 9405","$48,500.00","$54,000.00","$58,000.00"
"Doctorate","","9","$61,778.00","$110,000.00","$40,000.00","+/- 28305","$41,250.00","$48,000.00","$96,250.00"
"College of Engineering","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biomedical Engineering","Master","3","$68,333.00","$70,000.00","$65,000.00","+/- 2887","$68,750.00","$70,000.00","$70,000.00"
"Civil Engineering","Bachelor","2","$61,000.00","$61,000.00","$61,000.00","+/- 0","$61,000.00","$61,000.00","$61,000.00"
"Civil Engineering","Master","11","$66,591.00","$75,000.00","$63,500.00","+/- 3456","$64,750.00","$65,000.00","$68,500.00"
"Computer Engineering - CECN","Bachelor","3","$80,167.00","$90,000.00","$75,000.00","+/- 8520","$75,375.00","$75,500.00","$90,000.00"
"Computer Engineering - CECN","Master","2","$132,500.00","$150,000.00","$115,000.00","+/- 24749","$132,500.00","$132,500.00","$150,000.00"
"Computer Engineering - CEEN","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Computer Engineering - CEEN","Master","2","$107,500.00","$115,000.00","$100,000.00","+/- 10607","$107,500.00","$107,500.00","$115,000.00"
"Computer Science","Bachelor","6","$59,667.00","$76,000.00","$45,000.00","+/- 11570","$53,500.00","$57,500.00","$73,000.00"
"Computer Science","Master","5","$117,000.00","$150,000.00","$75,000.00","+/- 28417","$110,000.00","$125,000.00","$145,000.00"
"Electrical Engineering","Bachelor","5","$69,855.00","$88,000.00","$51,276.00","+/- 13661","$65,500.00","$70,000.00","$85,000.00"
"Electrical Engineering","Doctorate","2","$95,000.00","$120,000.00","$70,000.00","+/- 35355","$95,000.00","$95,000.00","$120,000.00"
"Electrical Engineering","Master","3","$110,000.00","$120,000.00","$100,000.00","+/- 10000","$107,500.00","$110,000.00","$120,000.00"
"Energy","Master","4","$73,750.00","$85,000.00","$65,000.00","+/- 9430","$67,000.00","$72,500.00","$85,000.00"
"Industrial Distribution","Bachelor","12","$59,250.00","$75,000.00","$45,000.00","+/- 7617","$57,000.00","$60,000.00","$62,000.00"
"Industrial Engineering","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Industrial Engineering","Doctorate","2","$98,000.00","$100,000.00","$96,000.00","+/- 2828","$98,000.00","$98,000.00","$100,000.00"
"Industrial Engineering","Master","3","$84,667.00","$98,000.00","$62,000.00","+/- 19732","$86,000.00","$94,000.00","$98,000.00"
"Mechanical Engineering","Bachelor","20","$74,338.00","$109,000.00","$51,276.00","+/- 15107","$67,000.00","$70,750.00","$83,000.00"
"Mechanical Engineering","Doctorate","2","$103,250.00","$130,000.00","$76,500.00","+/- 37830","$103,250.00","$103,250.00","$130,000.00"
"Mechanical Engineering","Master","2","$95,000.00","$108,000.00","$82,000.00","+/- 18385","$95,000.00","$95,000.00","$108,000.00"
"Nuclear Engineering","Bachelor","1","$68,000.00","$68,000.00","$68,000.00","+/- 0","$68,000.00","$68,000.00","$68,000.00"
"Petroleum Engineering","Bachelor","1","$34,000.00","$34,000.00","$34,000.00","+/- 0","$34,000.00","$34,000.00","$34,000.00"
"Petroleum Engineering","Doctorate","3","$101,667.00","$135,000.00","$50,000.00","+/- 45369","$102,500.00","$120,000.00","$135,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","52","$66,939.00","$109,000.00","$34,000.00","+/- 14467","$60,000.00","$67,000.00","$75,000.00"
"Master","","35","$87,757.00","$150,000.00","$62,000.00","+/- 26120","$65,000.00","$75,000.00","$108,500.00"
"Doctorate","","9","$99,722.00","$135,000.00","$50,000.00","+/- 29353","$81,375.00","$100,000.00","$127,500.00"
"College of Geosciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Geology","Bachelor","2","$52,500.00","$55,000.00","$50,000.00","+/- 3536","$52,500.00","$52,500.00","$55,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","2","$52,500.00","$55,000.00","$50,000.00","+/- 3536","$52,500.00","$52,500.00","$55,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Liberal Arts","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Communication","Bachelor","6","$46,833.00","$70,000.00","$32,000.00","+/- 13303","$39,500.00","$45,000.00","$60,000.00"
"Economics","Bachelor","5","$55,255.00","$80,000.00","$40,000.00","+/- 14904","$50,319.00","$51,276.00","$73,750.00"
"Economics","Master","2","$70,000.00","$73,000.00","$67,000.00","+/- 4243","$70,000.00","$70,000.00","$73,000.00"
"English","Bachelor","2","$41,638.00","$51,276.00","$32,000.00","+/- 13630","$41,638.00","$41,638.00","$51,276.00"
"History","Bachelor","4","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"International Studies","Bachelor","3","$45,500.00","$77,500.00","$24,000.00","+/- 28253","$32,250.00","$35,000.00","$77,500.00"
"Philosophy","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Political Science","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Psychology","Bachelor","8","$36,750.00","$50,000.00","$28,000.00","+/- 8531","$30,000.00","$33,000.00","$45,000.00"
"Sociology","Bachelor","4","$44,500.00","$55,000.00","$30,000.00","+/- 11733","$40,000.00","$46,500.00","$55,000.00"
"Spanish","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
"Telecommunication MediaStudies","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","36","$45,012.00","$80,000.00","$24,000.00","+/- 13459","$32,000.00","$47,500.00","$51,276.00"
"Master","","2","$70,000.00","$73,000.00","$67,000.00","+/- 4243","$70,000.00","$70,000.00","$73,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Mays Business School","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Accounting","Bachelor","2","$50,000.00","$54,000.00","$46,000.00","+/- 5657","$50,000.00","$50,000.00","$54,000.00"
"Finance","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Management","Bachelor","3","$55,333.00","$59,000.00","$52,000.00","+/- 3512","$54,250.00","$55,000.00","$59,000.00"
"Management Information Systems","Bachelor","1","$63,000.00","$63,000.00","$63,000.00","+/- 0","$63,000.00","$63,000.00","$63,000.00"
"Management Information Systems-PPA","Master","2","$68,030.00","$68,060.00","$68,000.00","+/- 42","$68,030.00","$68,030.00","$68,060.00"
"Marketing","Bachelor","2","$72,500.00","$75,000.00","$70,000.00","+/- 3536","$72,500.00","$72,500.00","$75,000.00"
"Supply Chain Management","Bachelor","2","$52,000.00","$58,000.00","$46,000.00","+/- 8485","$52,000.00","$52,000.00","$58,000.00"
"University Studies","Bachelor","4","$44,250.00","$50,000.00","$32,000.00","+/- 8500","$45,000.00","$47,500.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","15","$53,752.00","$75,000.00","$32,000.00","+/- 10541","$49,000.00","$52,000.00","$60,000.00"
"Master","","2","$68,030.00","$68,060.00","$68,000.00","+/- 42","$68,030.00","$68,030.00","$68,060.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Nursing","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Family Nurse Practitioner","Master","3","$84,333.00","$100,000.00","$60,000.00","+/- 21362","$84,750.00","$93,000.00","$100,000.00"
"Nursing","Bachelor","18","$52,593.00","$62,400.00","$35,000.00","+/- 7060","$50,000.00","$53,500.00","$59,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","18","$52,593.00","$62,400.00","$35,000.00","+/- 7060","$50,000.00","$53,500.00","$59,000.00"
"Master","","3","$84,333.00","$100,000.00","$60,000.00","+/- 21362","$84,750.00","$93,000.00","$100,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Public Health","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Health Admin-Executive Prog","Master","3","$110,333.00","$165,000.00","$73,000.00","+/- 48387","$88,000.00","$93,000.00","$165,000.00"
"Hlth Promotion & Comm Hlth Sci","Master","2","$45,000.00","$54,000.00","$36,000.00","+/- 12728","$45,000.00","$45,000.00","$54,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","5","$84,200.00","$165,000.00","$36,000.00","+/- 49917","$58,750.00","$73,000.00","$147,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Science","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biology","Bachelor","2","$40,000.00","$50,000.00","$30,000.00","+/- 14142","$40,000.00","$40,000.00","$50,000.00"
"Chemistry","Doctorate","3","$114,900.00","$118,000.00","$109,000.00","+/- 5112","$115,525.00","$117,700.00","$118,000.00"
"Mathematics","Doctorate","4","$68,750.00","$110,000.00","$47,000.00","+/- 28088","$58,000.00","$59,000.00","$110,000.00"
"Physics","Doctorate","2","$61,000.00","$70,000.00","$52,000.00","+/- 12728","$61,000.00","$61,000.00","$70,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","2","$40,000.00","$50,000.00","$30,000.00","+/- 14142","$40,000.00","$40,000.00","$50,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","9","$82,411.00","$118,000.00","$47,000.00","+/- 30436","$58,500.00","$70,000.00","$115,775.00"
"College of Veterinary Med & Biomedical Sc","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biomedical Sciences","Bachelor","8","$45,750.00","$80,000.00","$25,000.00","+/- 21992","$32,000.00","$37,000.00","$80,000.00"
"Biomedical Sciences","Doctorate","2","$71,000.00","$102,000.00","$40,000.00","+/- 43841","$71,000.00","$71,000.00","$102,000.00"
"University Studies","Bachelor","1","$24,000.00","$24,000.00","$24,000.00","+/- 0","$24,000.00","$24,000.00","$24,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","9","$43,333.00","$80,000.00","$24,000.00","+/- 21812","$30,500.00","$34,000.00","$71,250.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","2","$71,000.00","$102,000.00","$40,000.00","+/- 43841","$71,000.00","$71,000.00","$102,000.00"
