"College of Agriculture & Life Sciences","","","","","","","","",""
"University Studies","Bachelor","8","$48,012.00","$57,100.00","$40,000.00","+/- 5950","$45,000.00","$50,000.00","$52,000.00"
"Urban & Regional Planning","Bachelor","3","$52,667.00","$58,000.00","$48,000.00","+/- 5033","$51,000.00","$52,000.00","$58,000.00"
"Urban & Regional Planning","Master","2","$72,500.00","$100,000.00","$45,000.00","+/- 38891","$72,500.00","$72,500.00","$100,000.00"
"Visualization","Bachelor","3","$38,333.00","$40,000.00","$37,000.00","+/- 1528","$37,750.00","$38,000.00","$40,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","139","$58,378.00","$100,000.00","$24,000.00","+/- 10815","$52,000.00","$60,000.00","$63,000.00"
"Master","","10","$56,978.00","$100,000.00","$45,000.00","+/- 16908","$49,000.00","$50,000.00","$64,750.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Bush School of Gov & Pub Serv","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"International Affairs","Master","6","$61,379.00","$89,000.00","$40,000.00","+/- 21632","$45,638.00","$57,138.00","$87,000.00"
"Public Service &Administration","Master","9","$61,778.00","$80,000.00","$41,000.00","+/- 14175","$51,250.00","$60,000.00","$78,750.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","15","$61,618.00","$89,000.00","$40,000.00","+/- 16792","$50,000.00","$60,000.00","$80,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Athletic Training","Master","4","$45,250.00","$62,000.00","$24,000.00","+/- 18751","$35,000.00","$47,500.00","$62,000.00"
"Communication","Bachelor","1","$65,000.00","$65,000.00","$65,000.00","+/- 0","$65,000.00","$65,000.00","$65,000.00"
"Community Health","Bachelor","2","$43,500.00","$52,000.00","$35,000.00","+/- 12021","$43,500.00","$43,500.00","$52,000.00"
"Curriculum & Instruction","Doctorate","3","$98,000.00","$140,000.00","$64,000.00","+/- 38626","$83,500.00","$90,000.00","$140,000.00"
"Curriculum & Instruction","Master","10","$46,200.00","$55,000.00","$33,000.00","+/- 7685","$40,500.00","$49,000.00","$52,500.00"
"Edu Human Resource Development","Master","2","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Educational Administration","Master","9","$47,589.00","$60,000.00","$34,400.00","+/- 10060","$40,000.00","$47,000.00","$57,750.00"
"Educational Psychology","Master","9","$57,778.00","$105,000.00","$42,000.00","+/- 18707","$50,000.00","$53,000.00","$60,250.00"
"Educational Technology","Master","3","$63,333.00","$87,000.00","$50,000.00","+/- 20551","$52,250.00","$53,000.00","$87,000.00"
"Health","Bachelor","16","$39,743.00","$70,000.00","$24,000.00","+/- 12687","$30,000.00","$40,000.00","$51,276.00"
"Human Resource Development","Bachelor","17","$41,588.00","$52,000.00","$28,000.00","+/- 8645","$35,250.00","$40,000.00","$50,000.00"
"Interdisciplinary Studies","Bachelor","59","$48,123.00","$151,000.00","$22,000.00","+/- 15218","$41,950.00","$49,200.00","$51,500.00"
"Kinesiology","Bachelor","2","$59,000.00","$67,000.00","$51,000.00","+/- 11314","$59,000.00","$59,000.00","$67,000.00"
"Special Education","Master","2","$42,500.00","$43,000.00","$42,000.00","+/- 707","$42,500.00","$42,500.00","$43,000.00"
"Sport Management","Bachelor","13","$50,012.00","$66,000.00","$22,880.00","+/- 11794","$45,750.00","$51,276.00","$60,000.00"
"Sport Management","Master","6","$43,883.00","$85,000.00","$26,500.00","+/- 21644","$32,900.00","$35,500.00","$67,500.00"
"Technology Management","Bachelor","7","$52,000.00","$62,000.00","$25,000.00","+/- 13772","$49,750.00","$60,000.00","$62,000.00"
