"College of Agriculture and Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Business","Bachelor","3","$52,000.00","$60,000.00","$41,000.00","+/- 9849","$51,500.00","$55,000.00","$60,000.00"
"Ag Communications and Journalism","Bachelor","2","$43,000.00","$50,000.00","$36,000.00","+/- 9899","$43,000.00","$43,000.00","$50,000.00"
"Ag Economics","Bachelor","1","$44,000.00","$44,000.00","$44,000.00","+/- 0","$44,000.00","$44,000.00","$44,000.00"
"Ag Economics","Doctorate","2","$65,000.00","$70,000.00","$60,000.00","+/- 7071","$65,000.00","$65,000.00","$70,000.00"
"Ag Leadership and Development","Bachelor","2","$67,500.00","$80,000.00","$55,000.00","+/- 17678","$67,500.00","$67,500.00","$80,000.00"
"Ag Leadership and Development","Master","2","$52,000.00","$70,000.00","$34,000.00","+/- 25456","$52,000.00","$52,000.00","$70,000.00"
"Ag Science","Bachelor","1","$56,550.00","$56,550.00","$56,550.00","+/- 0","$56,550.00","$56,550.00","$56,550.00"
"Ag Systems Management","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Animal Science","Bachelor","2","$42,500.00","$45,000.00","$40,000.00","+/- 3536","$42,500.00","$42,500.00","$45,000.00"
"Bioenvironmental Science","Bachelor","2","$40,000.00","$50,000.00","$30,000.00","+/- 14142","$40,000.00","$40,000.00","$50,000.00"
"Biological & Ag Engineering","Bachelor","2","$67,750.00","$73,000.00","$62,500.00","+/- 7425","$67,750.00","$67,750.00","$73,000.00"
"Entomology","Doctorate","3","$41,533.00","$45,000.00","$39,600.00","+/- 3009","$39,900.00","$40,000.00","$45,000.00"
"Entomology","Master","2","$53,000.00","$72,000.00","$34,000.00","+/- 26870","$53,000.00","$53,000.00","$72,000.00"
"Nutritional Sciences","Bachelor","2","$39,500.00","$42,000.00","$37,000.00","+/- 3536","$39,500.00","$39,500.00","$42,000.00"
"Poultry Science","Bachelor","3","$43,000.00","$46,500.00","$40,000.00","+/- 3279","$41,875.00","$42,500.00","$46,500.00"
"Recreation, Park & Tourism Sci.","Bachelor","8","$48,388.00","$100,000.00","$27,500.00","+/- 23543","$35,000.00","$40,800.00","$65,000.00"
"Renewable Natural Resources","Bachelor","1","$37,000.00","$37,000.00","$37,000.00","+/- 0","$37,000.00","$37,000.00","$37,000.00"
"Univ. Studies - Leadership Studies","Bachelor","3","$44,000.00","$50,000.00","$40,000.00","+/- 5292","$41,500.00","$42,000.00","$50,000.00"
"Univ. Studies-Agriculture and Life Sciences","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Wildlife Fisheries Science","Bachelor","2","$38,000.00","$46,000.00","$30,000.00","+/- 11314","$38,000.00","$38,000.00","$46,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","36","$47,726.00","$100,000.00","$27,500.00","+/- 14814","$40,000.00","$42,750.00","$55,000.00"
"Master","","4","$52,500.00","$72,000.00","$34,000.00","+/- 21378","$34,000.00","$52,000.00","$72,000.00"
"Doctorate","","5","$50,920.00","$70,000.00","$39,600.00","+/- 13499","$41,250.00","$45,000.00","$67,500.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Construction Science","Bachelor","13","$58,115.00","$70,000.00","$38,000.00","+/- 7738","$58,500.00","$60,000.00","$60,750.00"
"Univ. Studies-Global Arts, Plan, Design & Const.","Doctorate","2","$57,000.00","$60,000.00","$54,000.00","+/- 4243","$57,000.00","$57,000.00","$60,000.00"
"Urban & Regional Science","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Urban & Regional Science","Doctorate","2","$62,000.00","$64,000.00","$60,000.00","+/- 2828","$62,000.00","$62,000.00","$64,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","14","$57,179.00","$70,000.00","$38,000.00","+/- 8220","$58,250.00","$59,250.00","$60,500.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","4","$59,500.00","$64,000.00","$54,000.00","+/- 4123","$60,000.00","$60,000.00","$64,000.00"
