"College of Agriculture & Life Sciences","","","","","","","","",""
"School Psychology","Doctorate","6","$53,500.00","$61,000.00","$42,000.00","+/- 8503","$48,500.00","$56,000.00","$61,000.00"
"Sport Management","Bachelor","12","$36,600.00","$54,000.00","$20,000.00","+/- 11452","$30,000.00","$30,600.00","$50,000.00"
"Sport Management","Master","4","$66,500.00","$90,000.00","$42,000.00","+/- 20421","$60,000.00","$67,000.00","$90,000.00"
"Technology Management","Bachelor","3","$49,669.00","$58,008.00","$43,500.00","+/- 7493","$46,500.00","$47,500.00","$58,008.00"
"University Studies","Bachelor","6","$41,667.00","$61,000.00","$25,000.00","+/- 14109","$32,500.00","$40,000.00","$57,500.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","47","$42,504.00","$70,000.00","$20,000.00","+/- 11784","$30,900.00","$43,500.00","$52,250.00"
"Master","","42","$51,545.00","$90,000.00","$31,000.00","+/- 9845","$47,241.50","$51,050.00","$55,500.00"
"Doctorate","","16","$63,875.00","$140,000.00","$40,000.00","+/- 30177","$45,000.00","$56,000.00","$61,000.00"
"College of Engineering","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biomedical Engineering","Doctorate","2","$89,000.00","$98,000.00","$80,000.00","+/- 12728","$89,000.00","$89,000.00","$98,000.00"
"Chemical Engineering","Bachelor","1","$70,000.00","$70,000.00","$70,000.00","+/- 0","$70,000.00","$70,000.00","$70,000.00"
"Chemical Engineering","Doctorate","2","$55,000.00","$60,000.00","$50,000.00","+/- 7071","$55,000.00","$55,000.00","$60,000.00"
"Chemical Engineering","Master","2","$67,500.00","$97,000.00","$38,000.00","+/- 41719","$67,500.00","$67,500.00","$97,000.00"
"Civil Engineering","Bachelor","8","$54,075.00","$63,700.00","$34,000.00","+/- 9605","$52,000.00","$54,500.00","$62,400.00"
"Civil Engineering","Master","12","$63,208.00","$78,000.00","$56,000.00","+/- 6472","$60,000.00","$60,000.00","$66,500.00"
"Computer Engineering - CECN","Bachelor","4","$75,000.00","$100,000.00","$57,000.00","+/- 18019","$71,000.00","$71,500.00","$100,000.00"
"Computer Engineering - CECN","Master","2","$99,000.00","$110,000.00","$88,000.00","+/- 15556","$99,000.00","$99,000.00","$110,000.00"
"Computer Engineering - CEEN","Bachelor","1","$57,000.00","$57,000.00","$57,000.00","+/- 0","$57,000.00","$57,000.00","$57,000.00"
"Computer Science","Bachelor","1","$65,000.00","$65,000.00","$65,000.00","+/- 0","$65,000.00","$65,000.00","$65,000.00"
"Computer Science","Master","2","$110,000.00","$130,000.00","$90,000.00","+/- 28284","$110,000.00","$110,000.00","$130,000.00"
"Electrical Engineering","Bachelor","1","$83,500.00","$83,500.00","$83,500.00","+/- 0","$83,500.00","$83,500.00","$83,500.00"
"Electrical Engineering","Doctorate","4","$122,750.00","$180,000.00","$51,000.00","+/- 53947","$120,000.00","$130,000.00","$180,000.00"
"Electrical Engineering","Master","3","$61,933.00","$83,000.00","$30,000.00","+/- 28121","$62,100.00","$72,800.00","$83,000.00"
"Industrial Distribution","Bachelor","11","$53,909.00","$70,000.00","$44,000.00","+/- 8826","$50,000.00","$50,000.00","$62,250.00"
"Industrial Engineering","Bachelor","1","$58,000.00","$58,000.00","$58,000.00","+/- 0","$58,000.00","$58,000.00","$58,000.00"
"Industrial Engineering","Doctorate","2","$65,000.00","$80,000.00","$50,000.00","+/- 21213","$65,000.00","$65,000.00","$80,000.00"
"Mechanical Engineering","Bachelor","8","$73,875.00","$90,000.00","$50,000.00","+/- 15505","$65,000.00","$74,000.00","$90,000.00"
"Mechanical Engineering","Doctorate","4","$56,250.00","$75,000.00","$40,000.00","+/- 14930","$50,000.00","$55,000.00","$75,000.00"
"Mechanical Engineering","Master","3","$124,667.00","$200,000.00","$76,000.00","+/- 66161","$92,500.00","$98,000.00","$200,000.00"
"Nuclear Engineering","Bachelor","1","$82,000.00","$82,000.00","$82,000.00","+/- 0","$82,000.00","$82,000.00","$82,000.00"
"Nuclear Engineering","Doctorate","2","$95,750.00","$116,500.00","$75,000.00","+/- 29345","$95,750.00","$95,750.00","$116,500.00"
"Petroleum Engineering","Doctorate","4","$131,250.00","$195,000.00","$90,000.00","+/- 44977","$115,000.00","$120,000.00","$195,000.00"
"Petroleum Engineering","Master","2","$81,250.00","$140,000.00","$22,500.00","+/- 83085","$81,250.00","$81,250.00","$140,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","37","$63,030.00","$100,000.00","$34,000.00","+/- 14949","$50,500.00","$60,000.00","$71,750.00"
"Master","","26","$78,223.00","$200,000.00","$22,500.00","+/- 36653","$60,000.00","$69,250.00","$93,500.00"
"Doctorate","","20","$92,525.00","$195,000.00","$40,000.00","+/- 43700","$60,000.00","$80,000.00","$120,000.00"
"College of Geosciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Environmental Studies","Bachelor","2","$40,500.00","$45,000.00","$36,000.00","+/- 6364","$40,500.00","$40,500.00","$45,000.00"
"Geology","Bachelor","5","$53,400.00","$80,000.00","$27,000.00","+/- 20132","$46,250.00","$50,000.00","$76,250.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","7","$49,714.00","$80,000.00","$27,000.00","+/- 17792","$42,750.00","$45,000.00","$68,750.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Liberal Arts","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Clinical Psychology","Doctorate","3","$49,500.00","$60,000.00","$41,000.00","+/- 9657","$45,875.00","$47,500.00","$60,000.00"
"Communication","Bachelor","12","$43,333.00","$65,000.00","$30,000.00","+/- 10183","$36,000.00","$41,000.00","$55,000.00"
"Communication","Doctorate","3","$53,000.00","$56,000.00","$50,000.00","+/- 3000","$52,250.00","$53,000.00","$56,000.00"
"Economics","Bachelor","7","$60,429.00","$93,000.00","$50,000.00","+/- 15480","$50,000.00","$55,000.00","$72,000.00"
"Economics","Doctorate","3","$96,000.00","$100,000.00","$90,000.00","+/- 5292","$96,000.00","$98,000.00","$100,000.00"
"English","Bachelor","8","$37,688.00","$70,000.00","$23,000.00","+/- 15026","$27,000.00","$35,500.00","$46,500.00"
"History","Bachelor","3","$39,333.00","$48,000.00","$35,000.00","+/- 7506","$35,000.00","$35,000.00","$48,000.00"
"History","Doctorate","3","$34,667.00","$40,000.00","$24,000.00","+/- 9238","$36,000.00","$40,000.00","$40,000.00"
"International Studies","Bachelor","4","$47,610.00","$55,000.00","$37,440.00","+/- 7392","$48,000.00","$49,000.00","$55,000.00"
"Political Science","Bachelor","5","$43,600.00","$60,000.00","$30,000.00","+/- 12602","$35,500.00","$46,000.00","$57,500.00"
"Psychology","Bachelor","7","$32,754.00","$45,000.00","$23,000.00","+/- 9052","$26,500.00","$31,000.00","$45,000.00"
"Psychology","Doctorate","2","$49,900.00","$51,000.00","$48,800.00","+/- 1556","$49,900.00","$49,900.00","$51,000.00"
"Sociology","Bachelor","2","$50,000.00","$60,000.00","$40,000.00","+/- 14142","$50,000.00","$50,000.00","$60,000.00"
"Sociology","Doctorate","2","$57,500.00","$60,000.00","$55,000.00","+/- 3536","$57,500.00","$57,500.00","$60,000.00"
"Spanish","Bachelor","1","$24,960.00","$24,960.00","$24,960.00","+/- 0","$24,960.00","$24,960.00","$24,960.00"
"University Studies","Bachelor","1","$31,200.00","$31,200.00","$31,200.00","+/- 0","$31,200.00","$31,200.00","$31,200.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","50","$43,128.00","$93,000.00","$23,000.00","+/- 13953","$33,640.00","$41,000.00","$50,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","16","$57,144.00","$100,000.00","$24,000.00","+/- 21328","$47,500.00","$52,000.00","$60,000.00"
"College of Mays Business School","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Accounting-PPA","Master","2","$55,250.00","$55,500.00","$55,000.00","+/- 354","$55,250.00","$55,250.00","$55,500.00"
"Finance","Bachelor","10","$54,650.00","$80,000.00","$36,000.00","+/- 14213","$46,500.00","$52,250.00","$67,500.00"
"Management","Bachelor","6","$54,750.00","$77,500.00","$45,000.00","+/- 11626","$49,500.00","$51,000.00","$66,250.00"
"Marketing","Bachelor","2","$53,500.00","$65,000.00","$42,000.00","+/- 16263","$53,500.00","$53,500.00","$65,000.00"
"Supply Chain Management","Bachelor","4","$54,250.00","$55,000.00","$52,000.00","+/- 1500","$55,000.00","$55,000.00","$55,000.00"
"University Studies","Bachelor","6","$59,333.00","$75,000.00","$46,000.00","+/- 11343","$52,500.00","$57,500.00","$72,500.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","28","$55,536.00","$80,000.00","$36,000.00","+/- 11420","$49,000.00","$54,750.00","$60,000.00"
"Master","","2","$55,250.00","$55,500.00","$55,000.00","+/- 354","$55,250.00","$55,250.00","$55,500.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Medicine","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Medical Sciences","Doctorate","2","$47,450.00","$47,500.00","$47,400.00","+/- 71","$47,450.00","$47,450.00","$47,500.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","2","$47,450.00","$47,500.00","$47,400.00","+/- 71","$47,450.00","$47,450.00","$47,500.00"
"College of Nursing","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Nursing","Bachelor","6","$49,333.00","$58,000.00","$40,000.00","+/- 5750","$49,000.00","$50,000.00","$54,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","6","$49,333.00","$58,000.00","$40,000.00","+/- 5750","$49,000.00","$50,000.00","$54,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Public Health","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Health Admin-Executive Prog","Master","2","$129,500.00","$150,000.00","$109,000.00","+/- 28991","$129,500.00","$129,500.00","$150,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Master","","2","$129,500.00","$150,000.00","$109,000.00","+/- 28991","$129,500.00","$129,500.00","$150,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Science","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Applied Mathematical Sciences","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Biology","Bachelor","2","$46,000.00","$52,000.00","$40,000.00","+/- 8485","$46,000.00","$46,000.00","$52,000.00"
"Biology","Doctorate","5","$46,200.00","$52,000.00","$40,000.00","+/- 5119","$43,250.00","$47,000.00","$51,500.00"
"Chemistry","Doctorate","4","$85,250.00","$117,000.00","$33,000.00","+/- 40302","$74,000.00","$95,500.00","$117,000.00"
"Mathematics","Doctorate","2","$53,750.00","$60,000.00","$47,500.00","+/- 8839","$53,750.00","$53,750.00","$60,000.00"
"Mathematics","Master","2","$47,500.00","$55,000.00","$40,000.00","+/- 10607","$47,500.00","$47,500.00","$55,000.00"
"Physics","Doctorate","3","$53,333.00","$60,000.00","$50,000.00","+/- 5774","$50,000.00","$50,000.00","$60,000.00"
"Statistics","Doctorate","2","$90,000.00","$115,000.00","$65,000.00","+/- 35355","$90,000.00","$90,000.00","$115,000.00"
"Statistics","Master","2","$62,000.00","$80,000.00","$44,000.00","+/- 25456","$62,000.00","$62,000.00","$80,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","3","$45,667.00","$52,000.00","$40,000.00","+/- 6028","$43,750.00","$45,000.00","$52,000.00"
"Master","","4","$54,750.00","$80,000.00","$40,000.00","+/- 17988","$44,000.00","$49,500.00","$80,000.00"
"Doctorate","","16","$63,719.00","$117,000.00","$33,000.00","+/- 27887","$47,500.00","$51,000.00","$74,000.00"
"College of Veterinary Med & Biomedical Sc","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Biomedical Sciences","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Veterinary Pathobiology","Doctorate","3","$69,000.00","$120,000.00","$40,000.00","+/- 44306","$45,250.00","$47,000.00","$120,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","3","$69,000.00","$120,000.00","$40,000.00","+/- 44306","$45,250.00","$47,000.00","$120,000.00"
