"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Ag Leadership & Development","Bachelor","6","$49,167.00","$60,000.00","$25,000.00","+/- 13197","$47,500.00","$52,500.00","$60,000.00"
"Agr Leadership, Educ & Comm","Master","3","$47,000.00","$53,000.00","$40,000.00","+/- 6557","$46,000.00","$48,000.00","$53,000.00"
"Agribusiness","Bachelor","1","$34,000.00","$34,000.00","$34,000.00","+/- 0","$34,000.00","$34,000.00","$34,000.00"
"Agricultural Development","Master","2","$82,500.00","$100,000.00","$65,000.00","+/- 24749","$82,500.00","$82,500.00","$100,000.00"
"Agricultural Economics","Bachelor","2","$52,500.00","$55,000.00","$50,000.00","+/- 3536","$52,500.00","$52,500.00","$55,000.00"
"Animal Science","Bachelor","9","$43,333.00","$60,000.00","$29,000.00","+/- 11673","$35,250.00","$40,000.00","$57,500.00"
"Biochemistry","Doctorate","3","$45,333.00","$48,000.00","$40,000.00","+/- 4619","$46,000.00","$48,000.00","$48,000.00"
"Bioenvironmental Sciences","Bachelor","1","$54,000.00","$54,000.00","$54,000.00","+/- 0","$54,000.00","$54,000.00","$54,000.00"
"Biological & Agricultural Engr","Bachelor","1","$72,000.00","$72,000.00","$72,000.00","+/- 0","$72,000.00","$72,000.00","$72,000.00"
"Ecosystem Science and Mgmt","Doctorate","2","$49,000.00","$50,000.00","$48,000.00","+/- 1414","$49,000.00","$49,000.00","$50,000.00"
"Entomology","Doctorate","2","$40,000.00","$47,000.00","$33,000.00","+/- 9899","$40,000.00","$40,000.00","$47,000.00"
"Forestry","Bachelor","1","$27,000.00","$27,000.00","$27,000.00","+/- 0","$27,000.00","$27,000.00","$27,000.00"
"Horticulture","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Nutritional Sciences","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
"Plant & Environmental Soil Sc","Bachelor","3","$49,333.00","$65,000.00","$23,000.00","+/- 22942","$50,750.00","$60,000.00","$65,000.00"
"Poultry Science","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Recreation, Park & Tourism Sc","Bachelor","3","$36,333.00","$40,000.00","$29,000.00","+/- 6351","$37,250.00","$40,000.00","$40,000.00"
"Recreation, Park & Tourism Sc","Doctorate","2","$61,250.00","$75,000.00","$47,500.00","+/- 19445","$61,250.00","$61,250.00","$75,000.00"
"Renewable Natural Resources","Bachelor","1","$21,000.00","$21,000.00","$21,000.00","+/- 0","$21,000.00","$21,000.00","$21,000.00"
"University Studies","Bachelor","3","$41,000.00","$50,000.00","$25,000.00","+/- 13892","$42,250.00","$48,000.00","$50,000.00"
"Wildlife & Fisheries Sciences","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Wildlife & Fisheries Sciences","Doctorate","3","$42,333.00","$47,000.00","$40,000.00","+/- 4041","$40,000.00","$40,000.00","$47,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","36","$43,972.00","$72,000.00","$21,000.00","+/- 13997","$30,000.00","$46,500.00","$55,000.00"
"Master","","5","$61,200.00","$100,000.00","$40,000.00","+/- 23510","$49,250.00","$53,000.00","$91,250.00"
"Doctorate","","12","$46,958.00","$75,000.00","$33,000.00","+/- 10177","$40,000.00","$47,250.00","$48,000.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Construction Science","Bachelor","39","$60,557.00","$70,000.00","$45,000.00","+/- 5958","$57,750.00","$60,000.00","$65,000.00"
"University Studies","Bachelor","6","$53,000.00","$65,000.00","$35,000.00","+/- 10373","$51,500.00","$56,000.00","$61,500.00"
"Urban & Regional Planning","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Urban & Regional Planning","Master","2","$47,000.00","$48,000.00","$46,000.00","+/- 1414","$47,000.00","$47,000.00","$48,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","46","$59,233.00","$70,000.00","$35,000.00","+/- 7289","$56,000.00","$60,000.00","$65,000.00"
"Master","","2","$47,000.00","$48,000.00","$46,000.00","+/- 1414","$47,000.00","$47,000.00","$48,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bilingual Education","Master","2","$51,250.00","$60,000.00","$42,500.00","+/- 12374","$51,250.00","$51,250.00","$60,000.00"
"Community Health","Bachelor","2","$38,000.00","$40,000.00","$36,000.00","+/- 2828","$38,000.00","$38,000.00","$40,000.00"
"Counseling Psychology","Doctorate","4","$43,000.00","$50,000.00","$40,000.00","+/- 4761","$40,000.00","$41,000.00","$50,000.00"
"Curriculum & Instruction","Doctorate","4","$75,500.00","$130,000.00","$56,000.00","+/- 36382","$56,000.00","$58,000.00","$130,000.00"
"Curriculum & Instruction","Master","24","$49,438.00","$57,000.00","$32,000.00","+/- 5544","$47,483.00","$51,000.00","$53,000.00"
"Edu Human Resource Development","Master","4","$49,750.00","$60,000.00","$31,000.00","+/- 12842","$53,000.00","$54,000.00","$60,000.00"
"Educational Administration","Doctorate","2","$113,500.00","$140,000.00","$87,000.00","+/- 37477","$113,500.00","$113,500.00","$140,000.00"
"Educational Administration","Master","6","$52,333.00","$60,000.00","$38,000.00","+/- 8066","$51,500.00","$55,500.00","$58,500.00"
"Educational Technology","Master","2","$48,440.00","$50,080.00","$46,800.00","+/- 2319","$48,440.00","$48,440.00","$50,080.00"
"Health","Bachelor","4","$34,250.00","$53,000.00","$24,000.00","+/- 12816","$30,000.00","$30,000.00","$53,000.00"
"Human Resource Development","Bachelor","17","$47,294.00","$70,000.00","$29,000.00","+/- 10699","$40,750.00","$48,000.00","$55,000.00"
"Interdisciplinary Studies","Bachelor","2","$43,750.00","$49,500.00","$38,000.00","+/- 8132","$43,750.00","$43,750.00","$49,500.00"
"Kinesiology","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
