"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","11","$43,091.00","$66,000.00","$30,000.00","+/- 11293","$36,375.00","$37,500.00","$52,500.00"
"Ag Leadership & Development","Bachelor","17","$60,428.00","$200,000.00","$34,000.00","+/- 37704","$48,000.00","$50,000.00","$60,000.00"
"Agribusiness","Bachelor","18","$48,047.00","$80,000.00","$25,000.00","+/- 13891","$40,000.00","$50,000.00","$57,500.00"
"Agribusiness","Master","2","$72,000.00","$84,000.00","$60,000.00","+/- 16971","$72,000.00","$72,000.00","$84,000.00"
"Agricultural Economics","Bachelor","51","$50,516.00","$125,000.00","$32,000.00","+/- 14854","$40,000.00","$50,000.00","$55,000.00"
"Agricultural Science","Bachelor","13","$52,862.00","$63,000.00","$42,000.00","+/- 7702","$46,750.00","$53,200.00","$60,000.00"
"Agricultural Systems Mgmt","Bachelor","9","$55,444.00","$118,000.00","$38,000.00","+/- 24161","$50,000.00","$50,000.00","$53,750.00"
"Animal Science","Bachelor","22","$48,980.00","$90,000.00","$25,000.00","+/- 12058","$43,500.00","$47,500.00","$54,000.00"
"Biochemistry","Bachelor","4","$40,819.00","$51,276.00","$34,000.00","+/- 7404","$38,000.00","$39,000.00","$51,276.00"
"Bioenvironmental Sciences","Bachelor","5","$48,800.00","$79,000.00","$35,000.00","+/- 17828","$38,750.00","$42,500.00","$71,750.00"
"Biological & Agricultural Engr","Bachelor","8","$55,250.00","$60,000.00","$48,000.00","+/- 3919","$55,000.00","$55,000.00","$59,000.00"
"Ecological Restoration","Bachelor","1","$75,000.00","$75,000.00","$75,000.00","+/- 0","$75,000.00","$75,000.00","$75,000.00"
"Environmental Studies","Bachelor","2","$52,500.00","$65,000.00","$40,000.00","+/- 17678","$52,500.00","$52,500.00","$65,000.00"
"Food Science & Technology","Bachelor","6","$52,333.00","$62,000.00","$40,000.00","+/- 7941","$50,000.00","$51,000.00","$61,000.00"
"Forensic Investigative Science","Bachelor","2","$33,000.00","$33,000.00","$33,000.00","+/- 0","$33,000.00","$33,000.00","$33,000.00"
"Forestry","Bachelor","2","$43,500.00","$45,000.00","$42,000.00","+/- 2121","$43,500.00","$43,500.00","$45,000.00"
"Genetics","Bachelor","1","$40,000.00","$40,000.00","$40,000.00","+/- 0","$40,000.00","$40,000.00","$40,000.00"
"Horticulture","Bachelor","5","$41,240.00","$55,000.00","$31,200.00","+/- 9984","$34,500.00","$42,000.00","$52,750.00"
"Nutrition","Bachelor","4","$34,500.00","$50,000.00","$24,000.00","+/- 11475","$28,000.00","$32,000.00","$50,000.00"
"Nutritional Sciences","Bachelor","4","$48,500.00","$65,000.00","$32,000.00","+/- 14480","$42,000.00","$48,500.00","$65,000.00"
"Plant & Environmental Soil Sc","Bachelor","5","$39,000.00","$43,000.00","$35,000.00","+/- 3391","$37,000.00","$40,000.00","$42,500.00"
"Poultry Science","Bachelor","8","$51,572.00","$62,000.00","$45,000.00","+/- 6166","$47,500.00","$49,900.00","$60,000.00"
"Rangeland Ecology & Management","Bachelor","6","$40,667.00","$50,000.00","$30,000.00","+/- 6683","$39,500.00","$40,000.00","$47,500.00"
"Recreation, Park & Tourism Sc","Bachelor","12","$38,940.00","$52,000.00","$30,000.00","+/- 7767","$35,000.00","$38,000.00","$46,000.00"
"Renewable Natural Resources","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Spatial Sciences","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"University Studies","Bachelor","11","$51,530.00","$75,000.00","$30,000.00","+/- 14015","$45,250.00","$51,276.00","$66,250.00"
"Water Mgmt & Hydrological Sc","Master","2","$48,000.00","$55,000.00","$41,000.00","+/- 9899","$48,000.00","$48,000.00","$55,000.00"
"Wildlife & Fisheries Sciences","Bachelor","10","$56,550.00","$144,000.00","$30,000.00","+/- 33812","$36,250.00","$45,000.00","$67,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","239","$49,516.00","$200,000.00","$24,000.00","+/- 17518","$40,000.00","$49,000.00","$55,000.00"
"Master","","4","$60,000.00","$84,000.00","$41,000.00","+/- 17907","$55,000.00","$57,500.00","$84,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Architecture","Master","12","$51,167.00","$58,000.00","$40,000.00","+/- 4891","$50,000.00","$50,500.00","$55,000.00"
"Construction Management","Master","2","$62,000.00","$62,000.00","$62,000.00","+/- 0","$62,000.00","$62,000.00","$62,000.00"
"Construction Science","Bachelor","86","$62,662.00","$122,000.00","$45,000.00","+/- 9943","$60,000.00","$61,250.00","$65,000.00"
"Environ Design Arch Studies","Bachelor","6","$38,500.00","$52,000.00","$28,000.00","+/- 8939","$34,500.00","$40,000.00","$47,000.00"
"Land & Property Development","Master","2","$68,750.00","$75,000.00","$62,500.00","+/- 8839","$68,750.00","$68,750.00","$75,000.00"
"Landscape Architecture","Bachelor","13","$47,338.00","$53,000.00","$40,000.00","+/- 3754","$45,250.00","$48,000.00","$50,850.00"
"Landscape Architecture","Master","2","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"University Studies","Bachelor","18","$52,703.00","$72,000.00","$35,500.00","+/- 10096","$46,500.00","$51,276.00","$61,000.00"
"Urban & Regional Planning","Bachelor","5","$44,800.00","$50,000.00","$40,000.00","+/- 4817","$42,000.00","$42,000.00","$50,000.00"
"Urban & Regional Planning","Master","5","$50,600.00","$56,000.00","$42,000.00","+/- 5550","$50,000.00","$50,000.00","$55,750.00"
"Visualization","Bachelor","12","$45,800.00","$72,600.00","$32,000.00","+/- 12143","$40,000.00","$42,000.00","$50,000.00"
"Visualization","Master","2","$46,000.00","$47,000.00","$45,000.00","+/- 1414","$46,000.00","$46,000.00","$47,000.00"
