"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","14","$50,163.00","$101,000.00","$35,000.00","+/- 17326","$40,000.00","$49,000.00","$53,138.00"
"Ag Leadership & Development","Bachelor","11","$48,909.00","$65,000.00","$40,000.00","+/- 7422","$45,000.00","$50,000.00","$52,000.00"
"Agr Leadership, Educ & Comm","Master","5","$45,500.00","$57,000.00","$31,000.00","+/- 9925","$43,125.00","$45,000.00","$55,750.00"
"Agribusiness","Bachelor","18","$55,170.00","$120,000.00","$26,000.00","+/- 20477","$45,000.00","$50,000.00","$66,000.00"
"Agribusiness","Master","3","$68,333.00","$115,000.00","$30,000.00","+/- 43108","$52,500.00","$60,000.00","$115,000.00"
"Agricultural Economics","Bachelor","36","$53,660.00","$90,000.00","$35,000.00","+/- 10888","$48,000.00","$50,638.00","$60,000.00"
"Agricultural Economics","Master","2","$59,500.00","$69,000.00","$50,000.00","+/- 13435","$59,500.00","$59,500.00","$69,000.00"
"Agricultural Science","Bachelor","7","$49,687.00","$66,600.00","$36,000.00","+/- 9713","$44,963.50","$50,000.00","$58,650.00"
"Agricultural Systems Mgmt","Bachelor","10","$57,450.00","$85,000.00","$36,000.00","+/- 13052","$50,000.00","$57,500.00","$64,250.00"
"Animal Science","Bachelor","16","$41,056.00","$64,000.00","$24,000.00","+/- 11395","$32,000.00","$38,950.00","$52,000.00"
"Animal Science","Doctorate","2","$86,000.00","$110,000.00","$62,000.00","+/- 33941","$86,000.00","$86,000.00","$110,000.00"
"Animal Science","Master","5","$60,000.00","$70,000.00","$45,000.00","+/- 11726","$53,750.00","$65,000.00","$70,000.00"
"Biochemistry","Bachelor","2","$32,500.00","$35,000.00","$30,000.00","+/- 3536","$32,500.00","$32,500.00","$35,000.00"
"Bioenvironmental Sciences","Bachelor","6","$46,167.00","$62,000.00","$30,000.00","+/- 12432","$39,500.00","$47,500.00","$59,000.00"
"Biological & Agricultural Engr","Bachelor","18","$65,376.00","$85,000.00","$50,000.00","+/- 9419","$61,000.00","$65,000.00","$71,250.00"
"Entomology","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
"Environmental Studies","Bachelor","2","$61,000.00","$76,000.00","$46,000.00","+/- 21213","$61,000.00","$61,000.00","$76,000.00"
"Equine Industry Management","Master","2","$47,500.00","$50,000.00","$45,000.00","+/- 3536","$47,500.00","$47,500.00","$50,000.00"
