"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","5","$52,600.00","$72,000.00","$31,000.00","+/- 17757","$45,000.00","$45,000.00","$71,500.00"
"Ag Leadership & Development","Bachelor","13","$49,846.00","$100,000.00","$30,000.00","+/- 17029","$41,250.00","$50,000.00","$51,750.00"
"Agribusiness","Bachelor","9","$55,844.00","$80,000.00","$43,000.00","+/- 12821","$48,500.00","$50,000.00","$70,150.00"
"Agribusiness","Master","4","$75,125.00","$85,000.00","$58,500.00","+/- 11849","$75,000.00","$78,500.00","$85,000.00"
"Agricultural Economics","Bachelor","24","$50,000.00","$75,000.00","$33,000.00","+/- 10587","$42,000.00","$50,000.00","$60,000.00"
"Agricultural Science","Bachelor","4","$44,250.00","$50,000.00","$40,000.00","+/- 4349","$42,000.00","$43,500.00","$50,000.00"
"Agricultural Systems Mgmt","Bachelor","4","$65,944.00","$90,000.00","$47,500.00","+/- 20133","$51,276.00","$63,138.00","$90,000.00"
"Animal Science","Bachelor","5","$47,200.00","$56,000.00","$40,000.00","+/- 7014","$42,500.00","$50,000.00","$54,500.00"
"Bioenvironmental Sciences","Bachelor","3","$53,533.00","$75,000.00","$41,600.00","+/- 18629","$43,400.00","$44,000.00","$75,000.00"
"Biological & Agricultural Engr","Bachelor","2","$85,000.00","$100,000.00","$70,000.00","+/- 21213","$85,000.00","$85,000.00","$100,000.00"
"Entomology","Bachelor","1","$58,000.00","$58,000.00","$58,000.00","+/- 0","$58,000.00","$58,000.00","$58,000.00"
"Entomology","Doctorate","2","$35,000.00","$45,000.00","$25,000.00","+/- 14142","$35,000.00","$35,000.00","$45,000.00"
"Environmental Studies","Bachelor","2","$48,500.00","$52,000.00","$45,000.00","+/- 4950","$48,500.00","$48,500.00","$52,000.00"
"Food Science & Technology","Bachelor","6","$50,492.00","$55,000.00","$40,000.00","+/- 5613","$49,975.00","$51,500.00","$55,000.00"
"Forestry","Bachelor","1","$55,000.00","$55,000.00","$55,000.00","+/- 0","$55,000.00","$55,000.00","$55,000.00"
"Genetics","Bachelor","2","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Horticulture","Bachelor","6","$40,213.00","$56,000.00","$26,000.00","+/- 11823","$33,000.00","$39,000.00","$53,638.00"
"Natural Resources Development","Master","2","$37,425.00","$38,850.00","$36,000.00","+/- 2015","$37,425.00","$37,425.00","$38,850.00"
"Nutrition","Bachelor","2","$36,250.00","$42,500.00","$30,000.00","+/- 8839","$36,250.00","$36,250.00","$42,500.00"
"Nutritional Sciences","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
