"College of Agriculture & Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications & Journalism","Bachelor","5","$44,200.00","$56,000.00","$30,000.00","+/- 10257","$40,750.00","$43,000.00","$55,000.00"
"Ag Leadership & Development","Bachelor","12","$48,333.00","$55,000.00","$30,000.00","+/- 7451","$50,000.00","$50,000.00","$55,000.00"
"Agribusiness","Bachelor","7","$54,771.00","$65,000.00","$45,000.00","+/- 6599","$53,250.00","$55,500.00","$59,675.00"
"Agricultural Development","Master","2","$41,400.00","$47,000.00","$35,800.00","+/- 7920","$41,400.00","$41,400.00","$47,000.00"
"Agricultural Economics","Bachelor","16","$48,719.00","$62,000.00","$35,000.00","+/- 7465","$42,000.00","$50,000.00","$54,000.00"
"Agricultural Science","Bachelor","4","$49,831.00","$60,000.00","$38,000.00","+/- 9049","$50,000.00","$50,662.50","$60,000.00"
"Agricultural Systems Mgmt","Bachelor","4","$45,375.00","$62,000.00","$32,500.00","+/- 12298","$42,000.00","$43,500.00","$62,000.00"
"Animal Science","Bachelor","11","$42,900.00","$55,000.00","$30,000.00","+/- 7970","$38,550.00","$40,000.00","$49,750.00"
"Animal Science","Master","2","$50,500.00","$61,000.00","$40,000.00","+/- 14849","$50,500.00","$50,500.00","$61,000.00"
"Biochemistry","Bachelor","1","$48,200.00","$48,200.00","$48,200.00","+/- 0","$48,200.00","$48,200.00","$48,200.00"
"Biochemistry","Doctorate","3","$55,667.00","$75,000.00","$46,000.00","+/- 16743","$46,000.00","$46,000.00","$75,000.00"
"Bioenvironmental Sciences","Bachelor","3","$48,667.00","$55,000.00","$45,000.00","+/- 5508","$45,750.00","$46,000.00","$55,000.00"
"Biological & Agricultural Engr","Bachelor","3","$63,167.00","$90,000.00","$48,000.00","+/- 23304","$50,625.00","$51,500.00","$90,000.00"
"Environmental Studies","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Food Science & Technology","Bachelor","2","$47,500.00","$60,000.00","$35,000.00","+/- 17678","$47,500.00","$47,500.00","$60,000.00"
"Genetics","Bachelor","1","$33,000.00","$33,000.00","$33,000.00","+/- 0","$33,000.00","$33,000.00","$33,000.00"
"Horticulture","Bachelor","4","$38,600.00","$52,000.00","$30,000.00","+/- 9401","$36,000.00","$36,200.00","$52,000.00"
"Nutrition","Doctorate","2","$59,000.00","$75,000.00","$43,000.00","+/- 22627","$59,000.00","$59,000.00","$75,000.00"
"Nutritional Sciences","Bachelor","2","$42,500.00","$45,000.00","$40,000.00","+/- 3536","$42,500.00","$42,500.00","$45,000.00"
"Plant & Environmental Soil Sc","Bachelor","2","$57,000.00","$70,000.00","$44,000.00","+/- 18385","$57,000.00","$57,000.00","$70,000.00"
"Poultry Science","Bachelor","2","$38,750.00","$41,500.00","$36,000.00","+/- 3889","$38,750.00","$38,750.00","$41,500.00"
"Rangeland Ecology & Management","Bachelor","5","$35,407.00","$40,033.00","$30,000.00","+/- 4569","$32,750.00","$35,000.00","$40,024.75"
"Recreation, Park & Tourism Sc","Bachelor","11","$34,955.00","$58,000.00","$22,000.00","+/- 10140","$30,000.00","$33,000.00","$41,250.00"
"Renewable Natural Resources","Bachelor","4","$59,250.00","$77,000.00","$45,000.00","+/- 14569","$50,000.00","$57,500.00","$77,000.00"
"Spatial Sciences","Bachelor","2","$46,638.00","$51,276.00","$42,000.00","+/- 6559","$46,638.00","$46,638.00","$51,276.00"
"Turfgrass Science","Bachelor","1","$32,000.00","$32,000.00","$32,000.00","+/- 0","$32,000.00","$32,000.00","$32,000.00"
"University Studies","Bachelor","8","$51,160.00","$70,000.00","$41,000.00","+/- 8459","$50,000.00","$50,000.00","$52,000.00"
"Wildlife & Fisheries Sciences","Bachelor","1","$51,276.00","$51,276.00","$51,276.00","+/- 0","$51,276.00","$51,276.00","$51,276.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","112","$46,371.00","$90,000.00","$22,000.00","+/- 11015","$40,000.00","$47,500.00","$52,000.00"
"Master","","4","$45,950.00","$61,000.00","$35,800.00","+/- 11046","$40,000.00","$43,500.00","$61,000.00"
"Doctorate","","5","$57,000.00","$75,000.00","$43,000.00","+/- 16477","$46,000.00","$46,000.00","$75,000.00"
"College of Architecture","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Construction Science","Bachelor","81","$60,432.00","$105,000.00","$32,500.00","+/- 8140","$58,000.00","$60,000.00","$62,850.00"
"Environ Design Arch Studies","Bachelor","2","$42,000.00","$52,000.00","$32,000.00","+/- 14142","$42,000.00","$42,000.00","$52,000.00"
"Land & Property Development","Master","2","$52,500.00","$60,000.00","$45,000.00","+/- 10607","$52,500.00","$52,500.00","$60,000.00"
"University Studies","Bachelor","3","$47,500.00","$65,000.00","$30,000.00","+/- 17500","$43,125.00","$47,500.00","$65,000.00"
"Visualization","Bachelor","3","$47,333.00","$57,000.00","$35,000.00","+/- 11240","$46,250.00","$50,000.00","$57,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","89","$59,141.00","$105,000.00","$30,000.00","+/- 9483","$57,000.00","$60,000.00","$62,300.00"
"Master","","2","$52,500.00","$60,000.00","$45,000.00","+/- 10607","$52,500.00","$52,500.00","$60,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Education & Human Development","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Curriculum & Instruction","Doctorate","2","$90,500.00","$95,000.00","$86,000.00","+/- 6364","$90,500.00","$90,500.00","$95,000.00"
"Curriculum & Instruction","Master","8","$46,938.00","$56,000.00","$39,000.00","+/- 6702","$42,000.00","$46,040.00","$55,000.00"
"Edu Human Resource Development","Master","3","$99,667.00","$174,000.00","$45,000.00","+/- 66711","$71,250.00","$80,000.00","$174,000.00"
"Educational Technology","Master","3","$41,667.00","$53,000.00","$32,000.00","+/- 10599","$38,000.00","$40,000.00","$53,000.00"
"Health","Bachelor","1","$34,000.00","$34,000.00","$34,000.00","+/- 0","$34,000.00","$34,000.00","$34,000.00"
"Health (Lower)","Bachelor","1","$50,000.00","$50,000.00","$50,000.00","+/- 0","$50,000.00","$50,000.00","$50,000.00"
"Human Resource Development","Bachelor","6","$66,667.00","$140,000.00","$40,000.00","+/- 38816","$45,000.00","$50,000.00","$110,000.00"
"Interdisciplinary Studies","Bachelor","35","$46,351.00","$72,000.00","$26,000.00","+/- 9367","$41,875.00","$50,000.00","$52,000.00"
"Kinesiology","Bachelor","5","$40,255.00","$51,276.00","$25,000.00","+/- 11339","$35,000.00","$42,500.00","$50,957.00"
"Sport Management","Bachelor","1","$32,000.00","$32,000.00","$32,000.00","+/- 0","$32,000.00","$32,000.00","$32,000.00"
"Technology Management","Bachelor","7","$51,286.00","$60,000.00","$40,000.00","+/- 8731","$46,000.00","$54,000.00","$60,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","56","$48,189.00","$140,000.00","$25,000.00","+/- 16239","$40,000.00","$50,000.00","$52,000.00"
"Master","","14","$57,108.00","$174,000.00","$32,000.00","+/- 35536","$41,000.00","$46,540.00","$55,500.00"
"Doctorate","","2","$90,500.00","$95,000.00","$86,000.00","+/- 6364","$90,500.00","$90,500.00","$95,000.00"
"College of Engineering","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Aerospace Engineering","Bachelor","12","$64,349.00","$78,000.00","$52,000.00","+/- 8280","$60,000.00","$67,300.00","$70,000.00"
"Aerospace Engineering","Doctorate","3","$81,000.00","$90,000.00","$70,000.00","+/- 10149","$79,750.00","$83,000.00","$90,000.00"
"Aerospace Engineering","Master","3","$77,667.00","$82,000.00","$71,000.00","+/- 5859","$77,750.00","$80,000.00","$82,000.00"
"Biomedical Engineering","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Biomedical Engineering","Doctorate","3","$62,000.00","$90,000.00","$48,000.00","+/- 24249","$48,000.00","$48,000.00","$90,000.00"
"Chemical Engineering","Bachelor","14","$78,764.00","$90,000.00","$53,000.00","+/- 10055","$74,500.00","$79,350.00","$88,000.00"
"Civil Engineering","Bachelor","39","$59,344.00","$83,000.00","$46,500.00","+/- 5920","$57,000.00","$58,700.00","$60,000.00"
"Civil Engineering","Master","12","$62,292.00","$70,000.00","$55,000.00","+/- 4864","$60,500.00","$62,500.00","$65,000.00"
"Computer Engineering - CECN","Bachelor","11","$75,627.00","$115,000.00","$56,800.00","+/- 19022","$64,250.00","$65,600.00","$91,000.00"
"Computer Engineering - CEEN","Bachelor","6","$70,629.00","$85,000.00","$51,276.00","+/- 12597","$65,750.00","$70,250.00","$84,000.00"
"Computer Engineering - CEEN","Master","10","$104,000.00","$125,000.00","$82,000.00","+/- 16234","$92,000.00","$103,500.00","$120,000.00"
"Computer Science","Bachelor","21","$75,167.00","$130,000.00","$47,000.00","+/- 23291","$62,000.00","$68,000.00","$85,000.00"
"Computer Science","Master","3","$101,667.00","$115,000.00","$75,000.00","+/- 23094","$105,000.00","$115,000.00","$115,000.00"
"Electrical Engineering","Bachelor","25","$68,687.00","$94,000.00","$45,000.00","+/- 9221","$65,250.00","$69,000.00","$73,000.00"
"Electrical Engineering","Doctorate","5","$95,000.00","$120,000.00","$48,000.00","+/- 27785","$97,750.00","$100,000.00","$117,500.00"
"Electrical Engineering","Master","9","$94,556.00","$129,000.00","$80,000.00","+/- 16310","$86,500.00","$90,000.00","$108,750.00"
"Electronic Sys Engr Technology","Bachelor","12","$73,442.00","$112,500.00","$47,500.00","+/- 16466","$67,500.00","$73,000.00","$80,800.00"
"Engineering Technology","Bachelor","10","$56,005.00","$64,000.00","$45,000.00","+/- 5999","$51,638.00","$57,500.00","$60,750.00"
"Industrial Distribution","Bachelor","53","$55,147.00","$75,000.00","$28,000.00","+/- 9054","$50,000.00","$55,000.00","$60,750.00"
"Industrial Engineering","Bachelor","53","$66,595.00","$90,000.00","$44,000.00","+/- 9113","$60,000.00","$65,000.00","$71,750.00"
"Industrial Engineering","Master","4","$85,325.00","$125,000.00","$57,700.00","+/- 30653","$65,000.00","$79,300.00","$125,000.00"
"Manufacturing & Mech Engr Tech","Bachelor","2","$63,500.00","$72,000.00","$55,000.00","+/- 12021","$63,500.00","$63,500.00","$72,000.00"
"Mechanical Engineering","Bachelor","36","$70,780.00","$100,000.00","$49,000.00","+/- 12718","$64,000.00","$68,750.00","$75,000.00"
"Mechanical Engineering","Doctorate","2","$61,500.00","$73,000.00","$50,000.00","+/- 16263","$61,500.00","$61,500.00","$73,000.00"
"Mechanical Engineering","Master","5","$77,055.00","$100,000.00","$51,276.00","+/- 20492","$66,750.00","$87,000.00","$96,750.00"
"Nuclear Engineering","Bachelor","1","$60,000.00","$60,000.00","$60,000.00","+/- 0","$60,000.00","$60,000.00","$60,000.00"
"Petroleum Engineering","Bachelor","16","$78,416.00","$110,000.00","$44,000.00","+/- 20929","$60,000.00","$77,500.00","$100,000.00"
"Petroleum Engineering","Doctorate","2","$122,500.00","$125,000.00","$120,000.00","+/- 3536","$122,500.00","$122,500.00","$125,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","312","$66,295.00","$130,000.00","$28,000.00","+/- 14275","$58,000.00","$65,000.00","$73,000.00"
"Master","","46","$84,849.00","$129,000.00","$51,276.00","+/- 22273","$65,000.00","$84,000.00","$98,500.00"
"Doctorate","","15","$84,800.00","$125,000.00","$48,000.00","+/- 27773","$65,000.00","$90,000.00","$112,500.00"
"College of Geosciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Environmental Studies","Bachelor","2","$97,000.00","$160,000.00","$34,000.00","+/- 89095","$97,000.00","$97,000.00","$160,000.00"
"Geographic Info Science & Tech","Bachelor","2","$50,638.00","$51,276.00","$50,000.00","+/- 902","$50,638.00","$50,638.00","$51,276.00"
"Geography","Bachelor","1","$32,000.00","$32,000.00","$32,000.00","+/- 0","$32,000.00","$32,000.00","$32,000.00"
"Geology","Bachelor","2","$46,000.00","$50,000.00","$42,000.00","+/- 5657","$46,000.00","$46,000.00","$50,000.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","7","$59,897.00","$160,000.00","$32,000.00","+/- 44833","$40,000.00","$50,000.00","$78,457.00"
"Master","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Liberal Arts","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Anthropology","Bachelor","1","$45,000.00","$45,000.00","$45,000.00","+/- 0","$45,000.00","$45,000.00","$45,000.00"
"Communication","Bachelor","23","$43,817.00","$80,000.00","$24,000.00","+/- 12825","$35,000.00","$40,000.00","$50,500.00"
"Economics","Bachelor","10","$57,700.00","$82,000.00","$38,500.00","+/- 12044","$50,000.00","$55,750.00","$65,000.00"
"Economics","Master","2","$65,000.00","$65,000.00","$65,000.00","+/- 0","$65,000.00","$65,000.00","$65,000.00"
"English","Bachelor","6","$35,200.00","$40,000.00","$30,000.00","+/- 4499","$32,500.00","$35,600.00","$40,000.00"
"History","Bachelor","3","$44,851.00","$51,276.00","$32,000.00","+/- 11129","$46,457.00","$51,276.00","$51,276.00"
"International Studies","Bachelor","17","$48,993.00","$82,500.00","$29,000.00","+/- 14425","$40,000.00","$51,276.00","$57,819.00"
"Philosophy","Bachelor","1","$30,000.00","$30,000.00","$30,000.00","+/- 0","$30,000.00","$30,000.00","$30,000.00"
"Political Science","Bachelor","9","$44,420.00","$55,000.00","$34,000.00","+/- 7268","$40,500.00","$45,000.00","$50,957.00"
"Psychology","Bachelor","13","$42,338.00","$60,000.00","$29,120.00","+/- 10458","$33,750.00","$40,000.00","$50,957.00"
"Sociology","Bachelor","7","$41,325.00","$60,000.00","$25,000.00","+/- 12034","$36,000.00","$40,000.00","$53,457.00"
"Spanish","Bachelor","1","$70,000.00","$70,000.00","$70,000.00","+/- 0","$70,000.00","$70,000.00","$70,000.00"
"Telecommunication MediaStudies","Bachelor","3","$35,667.00","$40,000.00","$27,000.00","+/- 7506","$36,750.00","$40,000.00","$40,000.00"
"University Studies","Bachelor","2","$47,500.00","$48,000.00","$47,000.00","+/- 707","$47,500.00","$47,500.00","$48,000.00"
"Women's and Gender Studies","Bachelor","1","$31,400.00","$31,400.00","$31,400.00","+/- 0","$31,400.00","$31,400.00","$31,400.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","97","$45,168.00","$82,500.00","$24,000.00","+/- 12627","$35,000.00","$45,000.00","$51,276.00"
"Master","","2","$65,000.00","$65,000.00","$65,000.00","+/- 0","$65,000.00","$65,000.00","$65,000.00"
"Doctorate","","0","$0.00","$0.00","$0.00","+/- 0","$0.00","$0.00","$0.00"
"College of Mays Business School","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Accounting","Bachelor","7","$56,571.00","$70,000.00","$48,500.00","+/- 7960","$52,250.00","$54,000.00","$66,250.00"
"Accounting","Master","6","$57,500.00","$68,000.00","$50,000.00","+/- 6253","$54,500.00","$57,000.00","$64,000.00"
"Business Administration","Master","2","$110,000.00","$120,000.00","$100,000.00","+/- 14142","$110,000.00","$110,000.00","$120,000.00"
"Business Honors","Bachelor","5","$70,000.00","$77,500.00","$60,000.00","+/- 6847","$68,125.00","$70,000.00","$76,875.00"
"Finance","Bachelor","18","$57,568.00","$80,000.00","$35,000.00","+/- 13069","$48,000.00","$61,000.00","$68,608.00"
"Financial Management","Master","4","$72,250.00","$80,000.00","$65,000.00","+/- 6131","$72,000.00","$72,000.00","$80,000.00"
"Human Resource Management","Master","8","$79,625.00","$89,500.00","$70,000.00","+/- 8012","$75,000.00","$79,250.00","$87,000.00"
"Land Economics & Real Estate","Master","10","$57,800.00","$72,000.00","$40,000.00","+/- 10390","$52,500.00","$60,000.00","$67,500.00"
"Management","Bachelor","12","$49,459.00","$70,000.00","$34,000.00","+/- 12518","$42,008.00","$48,000.00","$58,000.00"
"Management","Doctorate","2","$103,000.00","$141,000.00","$65,000.00","+/- 53740","$103,000.00","$103,000.00","$141,000.00"
"Management Information Systems","Bachelor","4","$65,375.00","$80,000.00","$58,000.00","+/- 10011","$60,000.00","$61,750.00","$80,000.00"
"Marketing","Bachelor","11","$62,645.00","$80,000.00","$50,000.00","+/- 11061","$54,450.00","$60,000.00","$75,625.00"
"Marketing","Master","8","$61,125.00","$80,000.00","$35,000.00","+/- 17167","$55,000.00","$67,500.00","$75,000.00"
"Supply Chain Management","Bachelor","14","$58,189.00","$72,500.00","$50,000.00","+/- 6487","$55,000.00","$56,875.00","$62,700.00"
"University Studies","Bachelor","9","$58,694.00","$125,000.00","$24,000.00","+/- 28474","$46,000.00","$58,000.00","$64,500.00"
"Totals","","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Bachelor","","80","$58,365.00","$125,000.00","$24,000.00","+/- 14149","$50,000.00","$58,000.00","$68,000.00"
"Master","","38","$67,316.00","$120,000.00","$35,000.00","+/- 17034","$57,000.00","$69,000.00","$75,000.00"
