"College of Agriculture and Life Sciences","","","","","","","","",""
"Major","Degree","Num. Salaries Reported","Avg","Max","Min","St. Dev.","25th P.","Median","75th P."
"Ag Communications and Journalism","Bachelor","6","$55,833.00","$75,000.00","$35,000.00","+/- 13197","$52,500.00","$57,500.00","$67,500.00"
"Ag Economics","Bachelor","2","$55,000.00","$70,000.00","$40,000.00","+/- 21213","$55,000.00","$55,000.00","$70,000.00"
"Ag Leadership and Development","Bachelor","4","$44,250.00","$60,000.00","$29,000.00","+/- 12685","$43,000.00","$44,000.00","$60,000.00"
"Ag Science","Bachelor","1","$57,000.00","$57,000.00","$57,000.00","+/- 0","$57,000.00","$57,000.00","$57,000.00"
"Ag Systems Management","Bachelor","3","$42,500.00","$55,000.00","$30,000.00","+/- 12500","$39,375.00","$42,500.00","$55,000.00"
"Animal Science","Bachelor","3","$31,667.00","$40,000.00","$23,000.00","+/- 8505","$29,750.00","$32,000.00","$40,000.00"
"Biochemistry","Doctorate","2","$45,000.00","$47,000.00","$43,000.00","+/- 2828","$45,000.00","$45,000.00","$47,000.00"
"Bioenvironmental Science","Bachelor","3","$61,667.00","$80,000.00","$45,000.00","+/- 17559","$56,250.00","$60,000.00","$80,000.00"
"Food Science & Technology","Bachelor","1","$25,000.00","$25,000.00","$25,000.00","+/- 0","$25,000.00","$25,000.00","$25,000.00"
"Nutritional Sciences","Bachelor","1","$38,400.00","$38,400.00","$38,400.00","+/- 0","$38,400.00","$38,400.00","$38,400.00"
"Recreation, Park & Tourism Sci.","Bachelor","5","$30,400.00","$42,000.00","$20,000.00","+/- 9915","$23,750.00","$35,000.00","$40,250.00"
"Univ. Studies - Leadership Studies","Bachelor","3","$36,555.00","$49,666.00","$20,000.00","+/- 15130","$35,000.00","$40,000.00","$49,666.00"
"Univ. Studies-Agriculture and Life Sciences","Bachelor","1","$49,666.00","$49,666.00","$49,666.00","+/- 0","$49,666.00","$49,666.00","$49,666.00"
"Wildlife Fisheries Science","Bachelor","2","$33,000.00","$45,000.00","$21,000.00","+/- 16971","$33,000.00","$33,000.00","$45,000.00"
"Wildlife Fisheries Science","Master","2","$40,000.00","$50,000.00","$30,000.00","+/- 14142","$40,000.00","$40,000.00","$50,000.00"
